name,url,phone,address,rating,review_count,neighborhood,price_range,category,region,michelin_star,michelin_guide
pabu izakaya san francisco,https://www.yelp.com/biz/pabu-izakaya-san-francisco-san-francisco,(415) 535-0184,101 California St,4.0,963,Financial District,3.0,"['Japanese', 'Sushi Bars', 'Cocktail Bars']",California,0,0
the ramen bar san francisco,https://www.yelp.com/biz/the-ramen-bar-san-francisco-san-francisco-3,(415) 535-0184,101 California St,3.0,624,Financial District,2.0,"['Ramen', 'Noodles']",California,0,0
hog island oyster co,https://www.yelp.com/biz/hog-island-oyster-co-san-francisco,(415) 391-7117,Located in Ferry Building Marketplace,4.5,6084,Located in Ferry Building Marketplace,2.0,"['Seafood', 'Seafood Markets', 'Live/Raw Food']",California,0,0
barbacco,https://www.yelp.com/biz/barbacco-san-francisco,(415) 955-1919,220 California St,4.0,1623,Financial District,2.0,"['Italian', 'Bars']",California,0,0
the plant cafe organic,https://www.yelp.com/biz/the-plant-cafe-organic-san-francisco-5,(415) 693-9730,101 California St,3.5,524,Financial District,2.0,"['Vegetarian', 'Juice Bars & Smoothies', 'Organic Stores']",California,0,0
perbacco,https://www.yelp.com/biz/perbacco-san-francisco,(415) 955-0663,230 California St,4.0,2033,Financial District,3.0,"['Italian', 'Bars']",California,0,1
tadich grill,https://www.yelp.com/biz/tadich-grill-san-francisco,(415) 391-1849,240 California St,4.0,2434,Financial District,3.0,"['Seafood', 'American (Traditional)']",California,0,0
michael mina san francisco,https://www.yelp.com/biz/michael-mina-san-francisco-san-francisco-6,(415) 722-2138,252 California St,4.0,1232,Financial District,3.0,"['Middle Eastern', 'Cocktail Bars', 'Wine Bars']",California,0,0
lou's cafe,https://www.yelp.com/biz/lous-cafe-san-francisco-5,Financial District,100 Pine St,4.5,154,,1.0,"['Salad', 'Soup', 'Sandwiches']",California,0,0
philz coffee,https://www.yelp.com/biz/philz-coffee-san-francisco-57,(415) 568-2535,1 Front St,4.0,393,Financial District,1.0,"['Coffee & Tea', 'Breakfast & Brunch']",California,0,0
miss tomato sandwich shop,https://www.yelp.com/biz/miss-tomato-sandwich-shop-san-francisco,(415) 397-0100,388 Market St,4.0,276,Financial District,1.0,"['Sandwiches', 'Breakfast & Brunch', 'Coffee & Tea']",California,0,0
