name,url,phone,address,rating,review_count,neighborhood,price_range,category,region,michelin_star,michelin_guide
mitsuwa marketplace,https://www.yelp.com/biz/mitsuwa-marketplace-arlington-heights-3,(847) 956-6699,100 E Algonquin Rd,4.5,1159,,2.0,"['Japanese', 'Sushi Bars', 'International Grocery']",Chicago,0,0
tensuke market & food court,https://www.yelp.com/biz/tensuke-market-and-food-court-elk-grove-village,(847) 806-1200,3 S Arlington Heights Rd,4.5,517,,2.0,"['Japanese', 'Sushi Bars', 'International Grocery']",Chicago,0,0
chungkiwa restaurant,https://www.yelp.com/biz/chungkiwa-restaurant-mount-prospect,(847) 806-1633,1658 W Algonquin Rd,4.5,370,,2.0,['Korean'],Chicago,0,0
ramen misoya,https://www.yelp.com/biz/ramen-misoya-mount-prospect,(847) 437-4590,1584 S Busse Rd,4.0,873,,2.0,['Ramen'],Chicago,0,0
hokkaido ramen santouka,https://www.yelp.com/biz/hokkaido-ramen-santouka-arlington-heights,(847) 357-0286,Located in Mitsuwa Marketplace,4.5,577,Located in Mitsuwa Marketplace,2.0,['Ramen'],Chicago,0,0
jarosch bakery,https://www.yelp.com/biz/jarosch-bakery-elk-grove-village-2,(847) 852-4009,35 S Arlington Heights Rd,4.5,287,,2.0,"['Bakeries', 'Custom Cakes', 'Desserts']",Chicago,0,0
seasons 52,https://www.yelp.com/biz/seasons-52-schaumburg-3,(847) 517-5252,1770 E Higgins Rd,4.0,978,,3.0,"['American (New)', 'Wine Bars', 'Seafood']",Chicago,0,0
nikko sushi jusarang,https://www.yelp.com/biz/nikko-sushi-jusarang-arlington-heights,(847) 364-9546,282 E Algonquin Rd,4.0,551,,2.0,"['Sushi Bars', 'Japanese', 'Korean']",Chicago,0,0
cubano bros,https://www.yelp.com/biz/cubano-bros-elk-grove-village,(847) 378-8865,571 Landmeier Rd,4.5,136,,2.0,"['Cuban', 'Breakfast & Brunch', 'Sandwiches']",Chicago,0,0
lou malnati's pizzeria,https://www.yelp.com/biz/lou-malnatis-pizzeria-elk-grove-village,(847) 439-2000,1050 E Higgins Rd,4.0,462,,2.0,"['Pizza', 'Italian']",Chicago,0,0
