name,url,phone,address,rating,review_count,neighborhood,price_range,category,region,michelin_star,michelin_guide
a baked joint,https://www.yelp.com/biz/a-baked-joint-washington-9,(202) 408-6985,430 K St NW,4.5,1918,,1.0,"['Coffee & Tea', 'Breakfast & Brunch', 'Sandwiches']",Washington DC,0,0
zaytinya,https://www.yelp.com/biz/zaytinya-washington,(202) 638-0800,701 9th St NW,4.0,4687,,3.0,"['Greek', 'Turkish', 'Lebanese']",Washington DC,0,1
le diplomate,https://www.yelp.com/biz/le-diplomate-washington,(202) 332-3333,1601 14th St NW,4.5,3607,Logan Circle,3.0,"['Brasseries', 'French', 'Breakfast & Brunch']",Washington DC,0,0
unconventional diner,https://www.yelp.com/biz/unconventional-diner-washington-3,(202) 847-0122,1207 9th St NW,4.5,1166,Shaw,2.0,"['American (New)', 'Breakfast & Brunch']",Washington DC,0,1
old ebbitt grill,https://www.yelp.com/biz/old-ebbitt-grill-washington,(202) 347-4800,675 15th St NW,4.0,8513,,2.0,"['Bars', 'American (Traditional)', 'Breakfast & Brunch']",Washington DC,0,0
daikaya ramen shop,https://www.yelp.com/biz/daikaya-ramen-shop-washington-2,(202) 589-1600,705 6th St NW,4.0,3147,,2.0,"['Ramen', 'Izakaya', 'Cocktail Bars']",Washington DC,0,0
busboys and poets - 450k,https://www.yelp.com/biz/busboys-and-poets-450k-washington,(202) 789-2227,450 K St NW,4.0,2358,,2.0,"['American (Traditional)', 'Breakfast & Brunch', 'Mediterranean']",Washington DC,0,0
the pig,https://www.yelp.com/biz/the-pig-washington-2,(202) 290-2821,1320 14th St NW,4.0,1864,Logan Circle,2.0,"['Barbeque', 'American (New)', 'Whiskey Bars']",Washington DC,0,0
reren,https://www.yelp.com/biz/reren-washington,(202) 290-3677,817 7th St NW,4.0,1901,Chinatown,2.0,"['Ramen', 'Asian Fusion']",Washington DC,0,0
barcelona wine bar,https://www.yelp.com/biz/barcelona-wine-bar-washington,(202) 588-5500,1622 14th St NW,4.0,1700,Logan Circle,2.0,"['Tapas/Small Plates', 'Wine Bars', 'Spanish']",Washington DC,0,0
the dabney,https://www.yelp.com/biz/the-dabney-washington,(202) 450-1015,122 Blagden Aly NW,4.5,692,Shaw,3.0,"['American (New)', 'Desserts', 'Cocktail Bars']",Washington DC,1,1
chaplin's,https://www.yelp.com/biz/chaplins-washington,(202) 644-8806,1501 9th St NW,4.0,1085,Shaw,2.0,"['Cocktail Bars', 'Ramen']",Washington DC,0,0
the red hen,https://www.yelp.com/biz/the-red-hen-washington-4,(202) 525-3021,1822 1st St NW,4.0,855,Bloomingdale,3.0,"['Italian', 'Cocktail Bars', 'American (Traditional)']",Washington DC,0,1
ben's chili bowl,https://www.yelp.com/biz/bens-chili-bowl-washington,(202) 667-0909,1213 U St NW,3.5,3782,U Street Corridor,1.0,"['Hot Dogs', 'Burgers', 'American (Traditional)']",Washington DC,0,0
rasika,https://www.yelp.com/biz/rasika-washington,(202) 637-1222,633 D St NW,4.5,3115,Penn Quarter,3.0,['Indian'],Washington DC,0,1
rpm italian,https://www.yelp.com/biz/rpm-italian-washington-4,(202) 204-4480,650 K St NW,4.0,1235,,3.0,['Italian'],Washington DC,0,0
poke papa,https://www.yelp.com/biz/poke-papa-washington,(202) 393-7653,806 H St NW,4.5,752,,2.0,"['Poke', 'Hawaiian']",Washington DC,0,0
national portrait gallery,https://www.yelp.com/biz/national-portrait-gallery-washington-3,(202) 633-8300,8TH St And F St NW,4.5,587,Penn Quarter,,['Art Museums'],Washington DC,0,0
wiseguy pizza,https://www.yelp.com/biz/wiseguy-pizza-washington-3,(202) 408-7800,300 Massachusetts Ave NW,4.5,1065,,1.0,['Pizza'],Washington DC,0,0
busboys and poets - 14th and v,https://www.yelp.com/biz/busboys-and-poets-14th-and-v-washington-2,(202) 387-7638,2021 14th St NW,4.0,2340,U Street Corridor,2.0,"['Sandwiches', 'Salad', 'Burgers']",Washington DC,0,0
shouk,https://www.yelp.com/biz/shouk-washington,(202) 945-4747,655 K St NW,4.5,667,,2.0,"['Middle Eastern', 'Vegan', 'Kosher']",Washington DC,0,0
ted's bulletin,https://www.yelp.com/biz/teds-bulletin-washington-3,(202) 265-8337,1818 14th St NW,4.0,1706,,2.0,"['Breakfast & Brunch', 'American (New)', 'Comfort Food']",Washington DC,0,0
hipcityveg,https://www.yelp.com/biz/hipcityveg-washington-3,(202) 621-8057,712 7th St NW,4.5,943,,2.0,"['Vegetarian', 'Vegan']",Washington DC,0,0
la colombe coffee,https://www.yelp.com/biz/la-colombe-coffee-washington-2,(202) 289-4850,924 Rear N St NW,4.5,495,Shaw,2.0,['Coffee & Tea'],Washington DC,0,0
convivial,https://www.yelp.com/biz/convivial-washington,(202) 525-2870,801 O St NW,4.0,655,Shaw,2.0,"['French', 'Bars', 'Breakfast & Brunch']",Washington DC,0,1
farmers & distillers,https://www.yelp.com/biz/farmers-and-distillers-washington-2,(202) 464-3001,600 Massachusetts Ave NW,3.5,1840,,2.0,"['Breakfast & Brunch', 'American (Traditional)', 'Distilleries']",Washington DC,0,0
estadio,https://www.yelp.com/biz/estadio-washington,(202) 319-1404,1520 14th St NW,4.0,1162,Logan Circle,2.0,"['Spanish', 'Tapas/Small Plates']",Washington DC,0,0
chercher ethiopian restaurant & mart,https://www.yelp.com/biz/chercher-ethiopian-restaurant-and-mart-washington,(202) 299-9703,1334 9th St NW,4.5,442,Shaw,2.0,['Ethiopian'],Washington DC,0,1
tortino restaurant,https://www.yelp.com/biz/tortino-restaurant-washington,(202) 312-5570,1228 11th St NW,4.0,713,Logan Circle,2.0,['Italian'],Washington DC,0,0
compass coffee,https://www.yelp.com/biz/compass-coffee-washington,(202) 251-7402,1535 7th St NW,4.5,352,Shaw,1.0,['Coffee & Tea'],Washington DC,0,0
