business_name,rating,review_count,price_range,category,michelin_star,region,michelin_guide
Le Diplomate,4.5,3596,$$$,"['Brasseries', 'French', 'Breakfast & Brunch']",0,Washington DC,0
Gypsy Kitchen,4.5,70,,"['Tapas/Small Plates', 'Mediterranean']",0,Washington DC,0
Butter Me Up,4.5,103,,['Breakfast & Brunch'],0,Washington DC,0
The Block,5.0,12,,"['Food Court', 'Bars', 'Asian Fusion']",0,Washington DC,0
The Alibi,4.5,441,$$,"['Pubs', 'Sandwiches', 'Barbeque']",0,Washington DC,0
Old Ebbitt Grill,4.0,8511,$$,"['Bars', 'American (Traditional)', 'Breakfast & Brunch']",0,Washington DC,0
il Canale,4.5,3239,$$,"['Italian', 'Pizza']",0,Washington DC,0
Mr Braxton Bar & Kitchen,4.5,198,$$,"['American (New)', 'Cocktail Bars']",0,Washington DC,0
Cane,4.5,278,$$,['Caribbean'],0,Washington DC,1
Reren,4.0,1899,$$,"['Ramen', 'Asian Fusion']",0,Washington DC,0
Ambar,4.5,1588,$$,['Modern European'],0,Washington DC,1
Farmbird,5.0,603,$$,"['Chicken Shop', 'American (New)', 'American (Traditional)']",0,Washington DC,0
Hot N Juicy Crawfish,4.0,1843,$$,"['Seafood', 'Cajun/Creole']",0,Washington DC,0
Call Your Mother,4.5,416,$$,"['Bagels', 'Delis']",0,Washington DC,0
Founding Farmers - Washington,4.0,13820,$$,"['American (Traditional)', 'Coffee & Tea', 'Breakfast & Brunch']",0,Washington DC,0
Makan,4.5,40,,['Malaysian'],0,Washington DC,0
The Pig,4.0,1862,$$,"['Barbeque', 'American (New)', 'Whiskey Bars']",0,Washington DC,0
Maydan,4.5,826,$$,"['Moroccan', 'Lebanese']",1,Washington DC,0
Duke’s Counter,4.5,442,$$,"['Burgers', 'Pubs', 'Sandwiches']",0,Washington DC,0
Republic Cantina,4.5,127,,['Tex-Mex'],0,Washington DC,0
Mecho’s Dominican Kitchen,4.5,89,$$,['Dominican'],0,Washington DC,0
Bombay Street Food,4.0,364,$$,['Indian'],0,Washington DC,0
Boqueria Penn Quarter,4.5,238,,"['Spanish', 'Tapas Bars', 'Tapas/Small Plates']",0,Washington DC,0
1914 By Kolben,5.0,36,,['Vietnamese'],0,Washington DC,0
Supreme Hot Pot,5.0,15,,"['Hot Pot', 'Seafood', 'Kebab']",0,Washington DC,0
Roaming Rooster,4.5,419,,"['Chicken Shop', 'American (Traditional)']",0,Washington DC,0
Moon Rabbit,5.0,17,,"['Vietnamese', 'Seafood', 'Cocktail Bars']",0,Washington DC,0
Bammy’s,4.5,55,,['Caribbean'],0,Washington DC,0
The Grill,4.0,111,,"['American (Traditional)', 'Steakhouses']",0,Washington DC,1
Copacabana,5.0,5,,['Brazilian'],0,Washington DC,0
Prost,5.0,14,,"['German', 'Breakfast & Brunch', 'Sandwiches']",0,Washington DC,0
Rooster & Owl,4.5,128,,"['American (New)', 'Tapas/Small Plates']",0,Washington DC,1
Thip Khao,4.5,1138,$$,['Laotian'],0,Washington DC,1
The Hamilton,4.0,2534,$$,"['Seafood', 'American (New)', 'Music Venues']",0,Washington DC,0
Zaytinya,4.0,4683,$$$,"['Greek', 'Turkish', 'Lebanese']",0,Washington DC,1
Rose’s Luxury,4.5,1969,$$$,"['American (New)', 'Italian', 'Tapas/Small Plates']",0,Washington DC,1
Bonchon Navy Yard,4.0,483,$$,"['Chicken Wings', 'Korean', 'Asian Fusion']",0,Washington DC,0
Taqueria Habanero,4.5,847,$$,"['Mexican', 'Cocktail Bars']",0,Washington DC,1
Proper 21,4.0,527,$$,"['Bars', 'American (New)']",0,Washington DC,0
Chicken + Whiskey,4.0,441,$$,"['Venezuelan', 'Peruvian', 'Sandwiches']",0,Washington DC,0
Unconventional Diner,4.5,1156,$$,"['American (New)', 'Breakfast & Brunch']",0,Washington DC,1
Nina May,4.5,123,$$$,['American (New)'],0,Washington DC,0
Luke’s Lobster Penn Quarter,4.0,1382,$$,['Seafood'],0,Washington DC,0
Mi Cuba Cafe,4.5,629,$$,"['Cuban', 'Latin American', 'Sandwiches']",0,Washington DC,0
Taqueria Xochi,4.0,22,,['Mexican'],0,Washington DC,0
Dumplings & Beyond,4.0,434,$$,['Chinese'],0,Washington DC,0
Pisco Y Nazca,4.5,829,$$,"['Peruvian', 'Cocktail Bars']",0,Washington DC,0
Bad Saint,4.0,605,$$$,['Filipino'],0,Washington DC,1
Busboys and Poets - 450K,4.0,2353,$$,"['American (Traditional)', 'Breakfast & Brunch', 'Mediterranean']",0,Washington DC,0
Maketto,4.0,972,$$,"['Cafes', 'Cambodian', 'Taiwanese']",0,Washington DC,1
Donburi,4.5,816,$$,['Japanese'],0,Washington DC,0
Da Hong Pao,4.0,702,$$,"['Cantonese', 'Dim Sum', 'Szechuan']",0,Washington DC,0
La Betty,4.5,55,,['American (New)'],0,Washington DC,0
Ottoman Taverna,4.5,449,$$,"['Mediterranean', 'Turkish', 'Halal']",0,Washington DC,1
Chiko,4.5,167,$$,"['Chinese', 'Korean']",0,Washington DC,1
Farmers Fishers Bakers,4.0,3747,$$,"['American (New)', 'Breakfast & Brunch', 'Seafood']",0,Washington DC,0
DCity Smokehouse,4.0,402,$$,"['Barbeque', 'Smokehouse', 'Chicken Wings']",0,Washington DC,0
Estadio,4.0,1161,$$,"['Spanish', 'Tapas/Small Plates']",0,Washington DC,0
District Taco,4.0,1598,$,['Mexican'],0,Washington DC,0
Los Hermanos,4.5,553,$,['Dominican'],0,Washington DC,0
Baan Siam,5.0,72,,['Thai'],0,Washington DC,0
Chloe,4.5,374,$$,"['American (New)', 'Modern European']",0,Washington DC,1
Slate Wine Bar,3.5,200,$$,"['Wine Bars', 'American (New)']",0,Washington DC,0
SeoulSpice,4.0,329,$$,"['Korean', 'Gluten-Free', 'Comfort Food']",0,Washington DC,0
Sospeso,4.5,205,$$,"['Mediterranean', 'Bars']",0,Washington DC,0
Federalist Pig,4.5,602,$$,"['Barbeque', 'Sandwiches', 'Chicken Wings']",0,Washington DC,1
The Fainting Goat,4.0,696,$$,"['American (New)', 'Cocktail Bars']",0,Washington DC,0
