name,region,url,michelin_guide
Himitsu,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/himitsu,1
BlackSalt,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/blacksalt,1
Tico,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/tico,1
Ottoman Taverna,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/ottoman-taverna,1
1789,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/1789,1
Ivy City Smokehouse,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/ivy-city-smokehouse,1
All Purpose,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/all-purpose,1
Fiola,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/fiola,1
Cane,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/cane,1
I'm Eddie Cano,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/i-m-eddie-cano,1
Oyamel,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/oyamel,1
Sababa,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/sababa,1
Primrose,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/primrose,1
Marcel's,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/marcel-s,1
Sushi Nakazawa,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/sushi-nakazawa1160153,1
Rappahannock Oyster Bar,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/rappahannock-oyster-bar,1
Astoria DC,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/astoria-dc,1
Soi 38,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/soi-38,1
Ambar,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/ambar,1
Zenebech,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/zenebech,1
Maydān,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/maydan,1
Das,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/das,1
Taqueria Habanero,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/taqueria-habanero,1
Royal,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/royal,1
Plume,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/plume,1
Bad Saint,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/bad-saint,1
Napoli Pasta Bar,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/napoli-pasta-bar,1
Fancy Radish,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/fancy-radish,1
Bombay Club,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/bombay-club,1
Ris,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/ris,1
Hanumanh,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/hanumanh,1
Fiola Mare,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/fiola-mare,1
Centrolina,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/centrolina,1
Supra,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/supra,1
Del Mar,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/del-mar,1
Izakaya Seki,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/izakaya-seki,1
Punjab Grill,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/punjab-grill,1
Rose’s Luxury,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/rose-s-luxury,1
Reverie,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/reverie,1
Sfoglina,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/sfoglina,1
Mirabelle,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/mirabelle,1
Mintwood Place,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/mintwood-place,1
Iron Gate,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/iron-gate,1
Jaleo,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/jaleo,1
Pearl Dive Oyster Palace,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/pearl-dive-oyster-palace,1
Ethiopic,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/ethiopic,1
Laos in Town,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/laos-in-town,1
Tosca,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/tosca,1
The Inn at Little Washington,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/the-inn-at-little-washington,1
The Sovereign,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/the-sovereign,1
Estuary,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/estuary,1
Hazel,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/hazel,1
Karma Modern Indian,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/karma-modern-indian,1
Ana,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/ana,1
Chloe,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/chloe,1
The Red Hen,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/the-red-hen,1
Pineapple and Pearls,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/pineapple-and-pearls,1
Zaytinya,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/zaytinya,1
Little Pearl,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/little-pearl,1
China Chilcano,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/china-chilcano,1
The Partisan,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/the-partisan,1
DBGB Kitchen and Bar,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/dbgb-kitchen-and-bar,1
Tiger Fork,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/tiger-fork,1
Chercher,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/chercher,1
Convivial,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/convivial,1
Little Serow,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/little-serow,1
Millie’s,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/millie-s,1
Bresca,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/bresca,1
Rooster & Owl,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/rooster-owl,1
Unconventional Diner,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/unconventional-diner,1
Mola,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/mola,1
Ellē,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/elle,1
Sonoma,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/sonoma,1
Lapis,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/lapis,1
The Pembroke,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/the-pembroke,1
Federalist Pig,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/federalist-pig,1
Tabard Inn,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/tabard-inn,1
Officina,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/officina,1
Toki Underground,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/toki-underground,1
Indique,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/indique,1
Obelisk,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/obelisk,1
Stellina Pizzeria,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/stellina-pizzeria,1
Nazca Mochica,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/nazca-mochica,1
San Lorenzo,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/san-lorenzo1160145,1
Komi,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/komi,1
Sushi Ogawa,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/sushi-ogawa,1
Le Chat Noir,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/le-chat-noir,1
Indigo,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/indigo,1
Anxo,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/anxo,1
Métier,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/metier,1
minibar,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/minibar,1
The Dabney,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/the-dabney,1
Seven Reasons,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/seven-reasons,1
Hank’s Oyster Bar,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/hank-s-oyster-bar,1
Timber Pizza Co,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/timber-pizza-co,1
Joselito Casa de Comidas,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/joselito-s-casa-de-comidas,1
Spoken English,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/spoken-english,1
Stable DC,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/stable-dc,1
Gravitas,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/gravitas,1
Thip Khao,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/thip-khao,1
Blue Duck Tavern,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/blue-duck-tavern,1
Tail Up Goat,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/tail-up-goat,1
Daikaya,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/daikaya,1
Keren,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/keren,1
Maketto,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/maketto,1
Kaliwa,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/kaliwa,1
Sushi Taro,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/sushi-taro,1
Lupo Verde,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/lupo-verde,1
American Son,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/american-son,1
Rasika,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/rasika,1
Bidwell,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/bidwell,1
Doi Moi,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/doi-moi,1
Masseria,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/masseria,1
Kinship,Washington DC,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/kinship,1
