name,url,phone,address,rating,review_count,neighborhood,price_range,category,region,michelin_star,michelin_guide
best bagel & coffee,https://www.yelp.com/biz/best-bagel-and-coffee-new-york,(212) 564-4409,225 W 35th St,4.5,3349,Midtown West,1.0,"['Bagels', 'Coffee & Tea', 'Breakfast & Brunch']",New York City,0,0
ny pizza suprema,https://www.yelp.com/biz/ny-pizza-suprema-new-york,(212) 594-8939,413 8th Ave,4,2022,Chelsea,1.0,['Pizza'],New York City,0,0
zen ramen & sushi,https://www.yelp.com/biz/zen-ramen-and-sushi-new-york,(646) 870-7509,150 W 36th street,4.5,1763,Midtown West,2.0,"['Sushi Bars', 'Ramen', 'Salad']",New York City,0,0
los tacos no.1,https://www.yelp.com/biz/los-tacos-no-1-new-york-3,(929) 226-6237,229 W 43rd St,4.5,1836,Theater District,1.0,['Tacos'],New York City,0,0
anytime,https://www.yelp.com/biz/anytime-new-york,(646) 669-7733,23 W 32nd St,4.5,1426,Koreatown,2.0,"['Korean', 'American (New)', 'Tapas/Small Plates']",New York City,0,0
izakaya mew,https://www.yelp.com/biz/izakaya-mew-new-york-3,(646) 368-9384,53 W 35th St,4,2329,Midtown West,2.0,"['Tapas Bars', 'Sushi Bars', 'Izakaya']",New York City,0,0
keens steakhouse,https://www.yelp.com/biz/keens-steakhouse-new-york,(212) 947-3636,72 W 36th St,4,2584,Midtown West,4.0,"['Steakhouses', 'Desserts', 'Pubs']",New York City,0,0
friedmans,https://www.yelp.com/biz/friedmans-new-york-71,(212) 971-9400,132 W 31st St,4,2482,Midtown West,2.0,"['American (New)', 'Breakfast & Brunch', 'Juice Bars & Smoothies']",New York City,0,0
grace street,https://www.yelp.com/biz/grace-street-new-york,(917) 745-2125,17 W 32nd St,4,2543,Koreatown,2.0,"['Coffee & Tea', 'Desserts', 'Shaved Ice']",New York City,0,0
brooklyn bagel & coffee company,https://www.yelp.com/biz/brooklyn-bagel-and-coffee-company-new-york-2,(212) 924-2824,286 8th Ave,4.5,1468,Chelsea,1.0,"['Bagels', 'Breakfast & Brunch', 'Cafes']",New York City,0,0
bea,https://www.yelp.com/biz/bea-new-york,(212) 602-1910,403 W 43rd St,4,2495,Midtown West,2.0,"['American (New)', 'Cocktail Bars']",New York City,0,0
go! go! curry!,https://www.yelp.com/biz/go-go-curry-new-york,(212) 730-5555,273 W 38th St,4,1458,Midtown West,2.0,['Japanese Curry'],New York City,0,0
