business_name,business_url,business_phone,business_address,business_rating,business_review_count,business_price_category,business_neighborhood,business_index
BrewSmart Beverage,https://www.yelp.com/adredir?ad_business_id=s9b_IMoVauHEQ-x1tZGB3w&campaign_id=kbijKB-F8qOGQoVnMz19vQ&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbrewsmart-beverage-elk-grove-village&request_id=ea7555e3c1b246c2&signature=8b3ba03c9de235341c09fdbcd1f452847737fe025102a9af0580633c9d9b355b&slot=0,(847) 437-5757,975 Criss Cir,3,5,"Coffee & Tea, Restaurant Supplies",,
Vape312,https://www.yelp.com/adredir?ad_business_id=aU0JjrcGQMPf1HQxnh7MvA&campaign_id=FAgKguaqFoFx2LbMIloAiA&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fvape312-highwood-3&request_id=ea7555e3c1b246c2&signature=f9c09795097ffec58702fb97a01e82663a5a6e715b1464f6e05e83ad0d426826&slot=1,(847) 897-4977,502 Sheridan Rd,4.5,6,"Vape Shops, Lounges",,
Mitsuwa Marketplace,https://www.yelp.com/biz/mitsuwa-marketplace-arlington-heights-3,(847) 956-6699,100 E Algonquin Rd,4.5,1159,"$$Japanese, Sushi Bars, International Grocery",,1
See businesses,https://www.yelp.com/search?cntrid=t2GHZEOKH0o8MU-n-ui1PA&l=g%3A-88.0092363549%2C42.0158112889%2C-87.9513996451%2C42.0740287111,,,,,,,
Tensuke Market & Food Court,https://www.yelp.com/biz/tensuke-market-and-food-court-elk-grove-village,(847) 806-1200,3 S Arlington Heights Rd,4.5,517,"$$Japanese, Sushi Bars, International Grocery",,2
Chungkiwa Restaurant,https://www.yelp.com/biz/chungkiwa-restaurant-mount-prospect,(847) 806-1633,1658 W Algonquin Rd,4.5,370,$$Korean,,3
Ramen Misoya,https://www.yelp.com/biz/ramen-misoya-mount-prospect,(847) 437-4590,1584 S Busse Rd,4,873,$$Ramen,,4
Hokkaido Ramen Santouka,https://www.yelp.com/biz/hokkaido-ramen-santouka-arlington-heights,(847) 357-0286,Located in Mitsuwa Marketplace,4.5,577,$$Ramen,Located in Mitsuwa Marketplace,5
Jarosch Bakery,https://www.yelp.com/biz/jarosch-bakery-elk-grove-village-2,(847) 852-4009,35 S Arlington Heights Rd,4.5,287,"$$Bakeries, Custom Cakes, Desserts",,6
Seasons 52,https://www.yelp.com/biz/seasons-52-schaumburg-3,(847) 517-5252,1770 E Higgins Rd,4,978,"$$$American (New), Wine Bars, Seafood",,7
Nikko Sushi Jusarang,https://www.yelp.com/biz/nikko-sushi-jusarang-arlington-heights,(847) 364-9546,282 E Algonquin Rd,4,551,"$$Sushi Bars, Japanese, Korean",,8
Cubano Bros,https://www.yelp.com/biz/cubano-bros-elk-grove-village,(847) 378-8865,571 Landmeier Rd,4.5,136,"$$Cuban, Breakfast & Brunch, Sandwiches",,9
Lou Malnati’s Pizzeria,https://www.yelp.com/biz/lou-malnatis-pizzeria-elk-grove-village,(847) 439-2000,1050 E Higgins Rd,4,462,"$$Pizza, Italian",,10
Mazalae Mongolian Restaurant,https://www.yelp.com/adredir?ad_business_id=aIlkv8TZSHjf3Qun5nywMw&campaign_id=R1jyab82rSc6ckFOxPnY3A&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmazalae-mongolian-restaurant-morton-grove&request_id=ea7555e3c1b246c2&signature=10ad597e26e49b1dcfe8930e0e1913a513e953e433e696dc60e9edd5bea77b6c&slot=0,(224) 470-5090,9216 Waukegan Rd,4,33,"Hot Pot, Mongolian",,
Sam’s Club,https://www.yelp.com/adredir?ad_business_id=EXYeG-18uCOXGkipvrq0SA&campaign_id=HxNRNqi8az5KNkU6kWpO6Q&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsams-club-des-plaines-3&request_id=dad8f3cbfc28bb2a&signature=b30e882e79c61a1653afd4119115776392215b4e1e158bf2e682976ef129cf85&slot=0,-6192,101 W Oakton St,3,43,"Meat Shops, Bakeries, Seafood Markets",,
Ali Baba Kabab,https://www.yelp.com/adredir?ad_business_id=vgE6GYG3rfadjVrGG_7hQg&campaign_id=0YxcXbtW2nVcD-PcxewxRA&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fali-baba-kabab-schaumburg-2&request_id=dad8f3cbfc28bb2a&signature=16dedadede76b8e0d291cc35b37bbc9ab593dcd0e2849cc6a75dcce3de902f90&slot=1,(630) 912-4499,869 S Roselle Rd,4,51,"Halal, Mediterranean, Middle Eastern",,
Wildberry Pancakes and Cafe,https://www.yelp.com/biz/wildberry-pancakes-and-cafe-schaumburg-2,(847) 517-4000,1383 N Meacham Rd,4.5,1665,"$$Pancakes, Waffles, Cafes",,11
Chodang Tofu Village,https://www.yelp.com/biz/chodang-tofu-village-mount-prospect,(847) 956-8638,1719 W Algonquin Rd,4.5,267,$$Korean,,12
Tata’s Pierogi,https://www.yelp.com/biz/tatas-pierogi-elk-grove-village,(847) 264-8944,570 E Devon Ave,4.5,187,"$Polish, Comfort Food, Soup",,13
Cooper’s Hawk Winery & Restaurant - Arlington Heights,https://www.yelp.com/biz/coopers-hawk-winery-and-restaurant-arlington-heights-arlington-heights,(847) 981-0900,798 W Algonquin Rd,4,715,"$$Wine Bars, Wine Tasting Room, American (New)",,14
Kurumaya Japanese Kitchen,https://www.yelp.com/biz/kurumaya-japanese-kitchen-elk-grove-village,(847) 437-2222,1201 E Higgins Rd,4,199,"$$Japanese, Sushi Bars",,15
Chef Ping,https://www.yelp.com/biz/chef-ping-rolling-meadows,(847) 981-8888,1755 Algonquin Rd,4,964,$$Chinese,,16
MazMez Middle Eastern Grill,https://www.yelp.com/biz/mazmez-middle-eastern-grill-elk-grove-village,(847) 262-7977,642 Meacham Rd,4.5,204,"$Mediterranean, Middle Eastern, Halal",,17
releaf,https://www.yelp.com/biz/releaf-arlington-heights-3,(847) 228-5435,100 E Algonquin Rd,4.5,156,"$Ice Cream & Frozen Yogurt, Coffee & Tea, Bubble Tea",,18
Johnnie’s Beef,https://www.yelp.com/biz/johnnies-beef-arlington-heights,(847) 357-8100,1935 S Arlington Heights Rd,4,457,"$Hot Dogs, Shaved Ice",,19
EJ Pierogi,https://www.yelp.com/biz/ej-pierogi-elk-grove-village,(847) 258-4854,1700 Oakton St,4.5,141,"$Polish, Breakfast & Brunch, Soup",,20
Hyderabad House Biryani Place,https://www.yelp.com/adredir?ad_business_id=sHMawTGVbW0VbMRagTM1qA&campaign_id=7KHfxjr0dMrKiu60HWtwKg&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fhyderabad-house-biryani-place-schaumburg-2&request_id=dad8f3cbfc28bb2a&signature=7259af6e1f14c08a90ec47ecf71551358ce8a3a833299b5ba0a9af03681caaf3&slot=0,(847) 907-4145,1424 E Algonquin Rd,3.5,156,Indian,,
