business_name,business_url,business_phone,business_address,business_rating,business_review_count,business_price_category,business_neighborhood,business_index
Nespresso Boutique,https://www.yelp.com/adredir?ad_business_id=YTTaKQTnIvwjdxyx_qXPjQ&campaign_id=15gk2vYqJyl0Olh2DCmIyA&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnespresso-boutique-arlington&request_id=60f970302604f663&signature=34788b6212c042c753387593b9f213542ca792ed975678d7e0e0c4425eddd8be&slot=0,(800) 562-1465,100 S Hayes St,4,26,"Coffee & Tea, Coffee Roasteries, Cafes",,
Starbucks,https://www.yelp.com/adredir?ad_business_id=Nvp2TsZs7LarDZy8LYlkkQ&campaign_id=rnbKB-MZ7WGt21byEQg78A&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fstarbucks-washington-109&request_id=60f970302604f663&signature=d25ed1a80a87f9158aa9f04341970fa616b5e264b245e451bca9962217ff3dc5&slot=1,-5139,2225 Georgia Ave NW,3,24,"Breakfast & Brunch, Coffee & Tea",,
A Baked Joint,https://www.yelp.com/biz/a-baked-joint-washington-9,(202) 408-6985,430 K St NW,4.5,1918,"$Coffee & Tea, Breakfast & Brunch, Sandwiches",,1
Zaytinya,https://www.yelp.com/biz/zaytinya-washington,(202) 638-0800,701 9th St NW,4,4687,"$$$Greek, Turkish, Lebanese",,2
Le Diplomate,https://www.yelp.com/biz/le-diplomate-washington,(202) 332-3333,1601 14th St NW,4.5,3607,"$$$Brasseries, French, Breakfast & Brunch",Logan Circle,3
Unconventional Diner,https://www.yelp.com/biz/unconventional-diner-washington-3,(202) 847-0122,1207 9th St NW,4.5,1166,"$$American (New), Breakfast & Brunch",Shaw,4
Old Ebbitt Grill,https://www.yelp.com/biz/old-ebbitt-grill-washington,(202) 347-4800,675 15th St NW,4,8513,"$$Bars, American (Traditional), Breakfast & Brunch",,5
Daikaya Ramen Shop,https://www.yelp.com/biz/daikaya-ramen-shop-washington-2,(202) 589-1600,705 6th St NW,4,3147,"$$Ramen, Izakaya, Cocktail Bars",,6
Busboys and Poets - 450K,https://www.yelp.com/biz/busboys-and-poets-450k-washington,(202) 789-2227,450 K St NW,4,2358,"$$American (Traditional), Breakfast & Brunch, Mediterranean",,7
The Pig,https://www.yelp.com/biz/the-pig-washington-2,(202) 290-2821,1320 14th St NW,4,1864,"$$Barbeque, American (New), Whiskey Bars",Logan Circle,8
Reren,https://www.yelp.com/biz/reren-washington,(202) 290-3677,817 7th St NW,4,1901,"$$Ramen, Asian Fusion",Chinatown,9
Barcelona Wine Bar,https://www.yelp.com/biz/barcelona-wine-bar-washington,(202) 588-5500,1622 14th St NW,4,1700,"$$Tapas/Small Plates, Wine Bars, Spanish",Logan Circle,10
Topolino An Italian Bistro,https://www.yelp.com/adredir?ad_business_id=owbeYA0jvl7dZ47gKbi43Q&campaign_id=kueKeZcZ0xmS4hGZkd771g&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ftopolino-an-italian-bistro-camp-springs&request_id=60f970302604f663&signature=439e1b8b459e51a89237ca6c3bb004166d66301b2d4e95251ce0a79fda03d263&slot=0,(301) 449-6160,6320 Old Branch Ave,4,356,Italian,,
Dave & Buster’s,https://www.yelp.com/adredir?ad_business_id=c_w5A6D4KXK8F2WRgBg_Iw&campaign_id=_dbjGBOwq5UeI9ab7kcMxQ&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdave-and-busters-capitol-heights-4&request_id=4c22984455f5620a&signature=3b40b1227b51a3e0b90fd840ec532c529ec7ca067a6124208d5101f237082967&slot=0,-10810,1851 Ritchie Station Ct,,Sports Bars,,,
Nespresso Boutique,https://www.yelp.com/adredir?ad_business_id=YTTaKQTnIvwjdxyx_qXPjQ&campaign_id=15gk2vYqJyl0Olh2DCmIyA&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnespresso-boutique-arlington&request_id=4c22984455f5620a&signature=33321735c9af5fe480e2dd85262a03325c91084fc3732acc3adb63d241c06598&slot=1,(800) 562-1465,100 S Hayes St,4,26,"Cafes, Coffee Roasteries, Coffee & Tea",,
The Dabney,https://www.yelp.com/biz/the-dabney-washington,(202) 450-1015,122 Blagden Aly NW,4.5,692,"$$$American (New), Desserts, Cocktail Bars",Shaw,11
Chaplin’s,https://www.yelp.com/biz/chaplins-washington,(202) 644-8806,1501 9th St NW,4,1085,"$$Cocktail Bars, Ramen",Shaw,12
The Red Hen,https://www.yelp.com/biz/the-red-hen-washington-4,(202) 525-3021,1822 1st St NW,4,855,"$$$Italian, Cocktail Bars, American (Traditional)",Bloomingdale,13
Ben’s Chili Bowl,https://www.yelp.com/biz/bens-chili-bowl-washington,(202) 667-0909,1213 U St NW,3.5,3782,"$Hot Dogs, Burgers, American (Traditional)",U Street Corridor,14
Rasika,https://www.yelp.com/biz/rasika-washington,(202) 637-1222,633 D St NW,4.5,3115,$$$Indian,Penn Quarter,15
RPM Italian,https://www.yelp.com/biz/rpm-italian-washington-4,(202) 204-4480,650 K St NW,4,1235,$$$Italian,,16
Poke Papa,https://www.yelp.com/biz/poke-papa-washington,(202) 393-7653,806 H St NW,4.5,752,"$$Poke, Hawaiian",,17
National Portrait Gallery,https://www.yelp.com/biz/national-portrait-gallery-washington-3,(202) 633-8300,8TH St And F St NW,4.5,587,Art Museums,Penn Quarter,18
Wiseguy Pizza,https://www.yelp.com/biz/wiseguy-pizza-washington-3,(202) 408-7800,300 Massachusetts Ave NW,4.5,1065,$Pizza,,19
Busboys and Poets - 14th and V,https://www.yelp.com/biz/busboys-and-poets-14th-and-v-washington-2,(202) 387-7638,2021 14th St NW,4,2340,"$$Sandwiches, Salad, Burgers",U Street Corridor,20
Busboys and Poets - Bookstore,https://www.yelp.com/biz/busboys-and-poets-bookstore-washington,,,,,,,
Starbucks,https://www.yelp.com/adredir?ad_business_id=Nvp2TsZs7LarDZy8LYlkkQ&campaign_id=JdRsBg6njLqh_wxgEI1TPg&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fstarbucks-washington-109&request_id=4c22984455f5620a&signature=68360da744031a2d028f320994938f45cc2c369f3fbac0c1f31408284c594bc2&slot=0,(202) 986-3952,2225 Georgia Ave NW,3,24,"Coffee & Tea, Breakfast & Brunch",,
Taberna del Alabardero,https://www.yelp.com/adredir?ad_business_id=qvVZpFsQULU1R97rNKbPtA&campaign_id=s25Arqh1HbzzH2xrsvc-mA&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ftaberna-del-alabardero-washington&request_id=d1d233373a62316e&signature=b1be351435198014afed499f54fc7c6d2c7fea22422797a6bfca596db77f5a4c&slot=0,(202) 429-2200,1776 I St NW,4,409,"Spanish, Wine Bars, Tapas Bars",Downtown,
Eat BRGZ,https://www.yelp.com/adredir?ad_business_id=MASNOQ-r6kKIaS2xW0Pl-g&campaign_id=Oaqyq0t8LZ3cUaR3Kj9HQQ&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Feat-brgz-washington&request_id=d1d233373a62316e&signature=34e85577c904fd0c57ec78a4f930a8efc39b17932427633bf49a1a206b0a2b3e&slot=1,(202) 450-5074,250 7th St SE,4,177,"American (New), Burgers",Capitol Hill,
A Baked Joint,https://www.yelp.com/biz/a-baked-joint-washington-9,(202) 408-6985,430 K St NW,4.5,1918,"$Coffee & Tea, Breakfast & Brunch, Sandwiches",,1
Zaytinya,https://www.yelp.com/biz/zaytinya-washington,(202) 638-0800,701 9th St NW,4,4687,"$$$Greek, Turkish, Lebanese",,2
Le Diplomate,https://www.yelp.com/biz/le-diplomate-washington,(202) 332-3333,1601 14th St NW,4.5,3607,"$$$Brasseries, French, Breakfast & Brunch",Logan Circle,3
