business_name,business_url,business_phone,business_address,business_rating,business_review_count,business_price_category,business_neighborhood,business_index
Nespresso Boutique Bar,https://www.yelp.com/adredir?ad_business_id=aZ_7ZNvMHzPUBqMKsD7a9g&campaign_id=uJ7sP80TCeWOiAiKBQJerg&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnespresso-boutique-bar-beverly-hills&request_id=aff35f3fc68b0ef8&signature=58b94522322db0c12c47738ea06f99cb0dfff4eea7756b0a6d5a669f4f81d10e&slot=0,(800) 562-1465,408 N Beverly Dr,3.5,379,"Coffee Roasteries, Coffee & Tea, Cafes",,
KFC,https://www.yelp.com/adredir?ad_business_id=-AZ2kWMlpmYhIW_kPFMmLQ&campaign_id=sjq2agorisiRHaqmcrFkrg&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkfc-los-angeles-3&request_id=aff35f3fc68b0ef8&signature=10fcf3ba5accf9945050d0e92b37c8ecfd34064450fc96c95aa34b1dce548045&slot=1,(323) 936-8079,1244 S. La Brea Ave,,Chicken Shop,,Mid-Wilshire,
Avila’s El Ranchito Mexican Restaurant,https://www.yelp.com/biz/avilas-el-ranchito-mexican-restaurant-huntington-park,(323) 585-5055,6703 Santa Fe Ave,4.5,666,$$Mexican,,1
Tokyo Style Food Truck and Catering,https://www.yelp.com/biz/tokyo-style-food-truck-and-catering-los-angeles-2,(310) 591-6226,Serving Los Angeles and the Surrounding Area,4.5,190,"$$Food Trucks, Japanese, Asian Fusion",Serving Los Angeles and the Surrounding Area,2
Rays BBQ,https://www.yelp.com/biz/rays-bbq-huntington-park-4,,6038 Santa Fe Ave,4.5,801,"$$Barbeque, Smokehouse, Salad",,3
The Los Angeles Banh Mi Company,https://www.yelp.com/biz/the-los-angeles-banh-mi-company-huntington-park,(323) 553-1710,2479 E Florence Ave,4.5,272,"$Vietnamese, Sandwiches, Coffee & Tea",,4
Teddy’s Red Tacos,https://www.yelp.com/biz/teddys-red-tacos-los-angeles,(323) 495-9654,Serving Los Angeles and the Surrounding Area,4,865,"$Food Trucks, Tacos",Serving Los Angeles and the Surrounding Area,5
Birrieria Jalisco,https://www.yelp.com/biz/birrieria-jalisco-los-angeles-2,(323) 583-9322,7714 Compton Ave,4.5,90,$Mexican,Florence-Firestone,6
Lettuce Feast,https://www.yelp.com/biz/lettuce-feast-los-angeles-2,(424) 261-3659,,4,199,"$$Food Trucks, Vegan, Comfort Food",Florence-Firestone,7
Tacos Los Poblanos,https://www.yelp.com/biz/tacos-los-poblanos-los-angeles-2,(323) 672-9485,5821 Avalon Blvd,4.5,236,"$Food Trucks, Mexican",Florence,8
El Cielito Cafe,https://www.yelp.com/biz/el-cielito-cafe-south-gate-3,(323) 484-9944,8015 Long Beach Blvd,4.5,166,$Coffee & Tea,,9
Las Molenderas Restaurant,https://www.yelp.com/biz/las-molenderas-restaurant-huntington-park,(323) 583-1933,2635 Gage Ave,4.5,174,$Mexican,,10
Half-time House Of Highlights,https://www.yelp.com/adredir?ad_business_id=SINCcHNO-jth2JEDPVlcMA&campaign_id=ixrP_TIHCBB2GGiWVDJcvg&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fhalf-time-house-of-highlights-bell-3&request_id=aff35f3fc68b0ef8&signature=49fe6c7d1beef21c078d9d1c63298b8ce1346f27a7fa13c62d4afca83b9bedbe&slot=0,(323) 826-7518,7016 Atlantic Blvd,4.5,51,"Pizza, Sports Bars, Chicken Wings",,
Sam’s Club,https://www.yelp.com/adredir?ad_business_id=MDT4sT3e7pn7bsoljX4NWQ&campaign_id=HxNRNqi8az5KNkU6kWpO6Q&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsams-club-south-gate-2&request_id=b2301ba4cf875e54&signature=6961ed5c1a32cc0d3d7dbe91a1f6350729a92ee25e1987a39cdac1376d3933e4&slot=0,-3003,5871 Firestone Blvd,,Olive Oil,,,
