business_name,business_url,business_phone,business_address,business_rating,business_review_count,business_price_category,business_neighborhood,business_index
Nespresso Boutique at Macy’s,https://www.yelp.com/adredir?ad_business_id=jhuueCartwhFmYXq0qYRWw&campaign_id=436cpMjQt-Fs-6hAm-Z4EA&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnespresso-boutique-at-macys-new-york&request_id=ee3285b52c3aeff9&signature=7dede180afa12951ef0d102c9795f4ecce14d96f8c53c6a4b87fbc94d87d5801&slot=0,(800) 562-1465,151 W 34th St,3.5,37,"Coffee Roasteries, Coffee & Tea, Cafes",Midtown West,
Lazy Sundaes - Lower East Side,https://www.yelp.com/adredir?ad_business_id=3aypSFXLfkAL4dhHVFobKg&campaign_id=w447yWFPtYLGxBscrm-8HQ&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Flazy-sundaes-lower-east-side-new-york&request_id=ee3285b52c3aeff9&signature=6f99e7ffec0990084211290d9db674abd51e2a28e8016d3d10bf51f1f2ccee8f&slot=1,Lower East Side,23 Clinton St,4.5,6,"Bubble Tea, Desserts, Shaved Ice",,
Best Bagel & Coffee,https://www.yelp.com/biz/best-bagel-and-coffee-new-york,(212) 564-4409,225 W 35th St,4.5,3349,"$Bagels, Coffee & Tea, Breakfast & Brunch",Midtown West,1
NY Pizza Suprema,https://www.yelp.com/biz/ny-pizza-suprema-new-york,(212) 594-8939,413 8th Ave,4,2022,$Pizza,Chelsea,2
Zen Ramen & Sushi,https://www.yelp.com/biz/zen-ramen-and-sushi-new-york,(646) 870-7509,150 W 36th street,4.5,1763,"$$Sushi Bars, Ramen, Salad",Midtown West,3
Los Tacos No.1,https://www.yelp.com/biz/los-tacos-no-1-new-york-3,(929) 226-6237,229 W 43rd St,4.5,1836,$Tacos,Theater District,4
Anytime,https://www.yelp.com/biz/anytime-new-york,(646) 669-7733,23 W 32nd St,4.5,1426,"$$Korean, American (New), Tapas/Small Plates",Koreatown,5
Izakaya MEW,https://www.yelp.com/biz/izakaya-mew-new-york-3,(646) 368-9384,53 W 35th St,4,2329,"$$Tapas Bars, Sushi Bars, Izakaya",Midtown West,6
Keens Steakhouse,https://www.yelp.com/biz/keens-steakhouse-new-york,(212) 947-3636,72 W 36th St,4,2584,"$$$$Steakhouses, Desserts, Pubs",Midtown West,7
Friedmans,https://www.yelp.com/biz/friedmans-new-york-71,(212) 971-9400,132 W 31st St,4,2482,"$$American (New), Breakfast & Brunch, Juice Bars & Smoothies",Midtown West,8
Grace Street,https://www.yelp.com/biz/grace-street-new-york,(917) 745-2125,17 W 32nd St,4,2543,"$$Coffee & Tea, Desserts, Shaved Ice",Koreatown,9
Brooklyn Bagel & Coffee Company,https://www.yelp.com/biz/brooklyn-bagel-and-coffee-company-new-york-2,(212) 924-2824,286 8th Ave,4.5,1468,"$Bagels, Breakfast & Brunch, Cafes",Chelsea,10
Starbucks,https://www.yelp.com/adredir?ad_business_id=tgRdyqhFsfmAxVHLEbp0Hg&campaign_id=rnbKB-MZ7WGt21byEQg78A&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fstarbucks-new-york-586&request_id=ee3285b52c3aeff9&signature=18b0844f4a175d62199859fc2faf17a10f2927677e245efe3f96073a90d0fce3&slot=0,-3451,330 West 34th St,4.5,2,"Coffee & Tea, Breakfast & Brunch",Chelsea,
