business_name,business_url,business_phone,business_address,business_rating,business_review_count,business_price_category,business_neighborhood,business_index
Super Duper Burgers,https://www.yelp.com/adredir?ad_business_id=mkwfPlHn2KmwDPe-EhGB5A&campaign_id=NAqM1aC5J9g7naoEx7JJ5A&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsuper-duper-burgers-san-francisco-12&request_id=ea27e32b9984fa98&signature=1e48c252c789a0a1ec3f48e9f5cd2b881ccfc729dd507f77e28c3b0a1d1af386&slot=0,(415) 517-4608,98 Mission St,4,523,Burgers,Financial District,
Amazon Go,https://www.yelp.com/adredir?ad_business_id=_bRwjPSym0FSlS6teON6vg&campaign_id=Bp2ix_Xaa2-ym2LYHrz3rg&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Famazon-go-san-francisco-11&request_id=ea27e32b9984fa98&signature=199bbaa5d65d3466f8f9cfaf113fc65774b50e5136439260cea24169411300d4&slot=1,-5498,300 California St,4,89,"Fast Food, Breakfast & Brunch, Drugstores",Financial District,
PABU Izakaya San Francisco,https://www.yelp.com/biz/pabu-izakaya-san-francisco-san-francisco,(415) 535-0184,101 California St,4,963,"$$$Japanese, Sushi Bars, Cocktail Bars",Financial District,1
The Ramen Bar San Francisco,https://www.yelp.com/biz/the-ramen-bar-san-francisco-san-francisco-3,(415) 535-0184,101 California St,3,624,"$$Ramen, Noodles",Financial District,2
Hog Island Oyster Co,https://www.yelp.com/biz/hog-island-oyster-co-san-francisco,(415) 391-7117,Located in Ferry Building Marketplace,4.5,6084,"$$Seafood, Seafood Markets, Live/Raw Food",Located in Ferry Building Marketplace,3
Barbacco,https://www.yelp.com/biz/barbacco-san-francisco,(415) 955-1919,220 California St,4,1623,"$$Italian, Bars",Financial District,4
The Plant Cafe Organic,https://www.yelp.com/biz/the-plant-cafe-organic-san-francisco-5,(415) 693-9730,101 California St,3.5,524,"$$Vegetarian, Juice Bars & Smoothies, Organic Stores",Financial District,5
Perbacco,https://www.yelp.com/biz/perbacco-san-francisco,(415) 955-0663,230 California St,4,2033,"$$$Italian, Bars",Financial District,6
Tadich Grill,https://www.yelp.com/biz/tadich-grill-san-francisco,(415) 391-1849,240 California St,4,2434,"$$$Seafood, American (Traditional)",Financial District,7
Michael Mina San Francisco,https://www.yelp.com/biz/michael-mina-san-francisco-san-francisco-6,(415) 722-2138,252 California St,4,1232,"$$$Middle Eastern, Cocktail Bars, Wine Bars",Financial District,8
Lou’s Cafe,https://www.yelp.com/biz/lous-cafe-san-francisco-5,Financial District,100 Pine St,4.5,154,"$Salad, Soup, Sandwiches",,9
Philz Coffee,https://www.yelp.com/biz/philz-coffee-san-francisco-57,(415) 568-2535,1 Front St,4,393,"$Coffee & Tea, Breakfast & Brunch",Financial District,10
PABU Izakaya San Francisco,https://www.yelp.com/adredir?ad_business_id=BRz0ocqDzNlGS-AG1IpXtA&campaign_id=uCAbtuQ_LQZHgaqZtzq_kQ&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fpabu-izakaya-san-francisco-san-francisco&request_id=ea27e32b9984fa98&signature=25d41eadeacac2712729f5a770e1bdc3657aced47837a4db17aab825222b8177&slot=0,(415) 535-0184,101 California St,4,963,"Sushi Bars, Japanese, Cocktail Bars",Financial District,
Starbucks,https://www.yelp.com/adredir?ad_business_id=i1Nkh3qZZDuoD2oD8o2ghw&campaign_id=8yOkIT-TDS69S0Z0WAJP9Q&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fstarbucks-san-francisco-87&request_id=4060d42de3903143&signature=a9123fd2a45564c6288475ba4d741e6a135dc3a61ac527837ba901e55e141c36&slot=0,(415) 398-8630,52 California St,3,62,Coffee & Tea,Financial District,
Amazon Go,https://www.yelp.com/adredir?ad_business_id=NtHLCxzm7a8n2mzCrwlnEg&campaign_id=Bp2ix_Xaa2-ym2LYHrz3rg&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Famazon-go-san-francisco-10&request_id=4060d42de3903143&signature=3181a32c911423a63733838bf98e357a44a65c9d03b62d209d47ed351acad7d9&slot=1,-5498,3 Embarcadero Ctr,4.5,7,"Drugstores, Convenience Stores, Sandwiches",Financial District,
Miss Tomato Sandwich Shop,https://www.yelp.com/biz/miss-tomato-sandwich-shop-san-francisco,(415) 397-0100,388 Market St,4,276,"$Sandwiches, Breakfast & Brunch, Coffee & Tea",Financial District,11
Cantina Verde,https://www.yelp.com/biz/cantina-verde-san-francisco-4,(415) 504-3457,388 Market St,3.5,272,"$Breakfast & Brunch, Tacos",Financial District,12
Elixiria,https://www.yelp.com/biz/elixiria-san-francisco,(628) 444-3149,25 Beale St,4.5,285,"$$Juice Bars & Smoothies, Breakfast & Brunch, Caterers",Financial District,13
Kokkari Estiatorio,https://www.yelp.com/biz/kokkari-estiatorio-san-francisco,(415) 981-0983,200 Jackson St,4.5,4541,"$$$Greek, Mediterranean",Financial District,14
Barcha,https://www.yelp.com/biz/barcha-san-francisco,(415) 957-5463,28 Fremont St,4,501,"$$Mediterranean, Tapas/Small Plates",Financial District,15
Humphry Slocombe Ice Cream,https://www.yelp.com/biz/humphry-slocombe-ice-cream-san-francisco-4,(415) 550-6971,1 Ferry Bldg,4.5,1138,$Ice Cream & Frozen Yogurt,Embarcadero,16
Oasis Grill,https://www.yelp.com/biz/oasis-grill-san-francisco,(415) 781-0313,91 Drumm St,4,1262,"$$Mediterranean, Desserts, Salad",Financial District,17
Wayfare Tavern,https://www.yelp.com/biz/wayfare-tavern-san-francisco-2,(415) 772-9060,558 Sacramento St,4,3941,$$$American (Traditional),Financial District,18
Halal Cart,https://www.yelp.com/biz/halal-cart-san-francisco,(628) 208-4052,425 Market St,4,494,"$$Halal, Food Stands, Sandwiches",Financial District,19
Il Canto Cafe,https://www.yelp.com/biz/il-canto-cafe-san-francisco-7,(415) 202-3593,475 Sacramento St,4.5,326,"$Coffee & Tea, Cafes, Breakfast & Brunch",Financial District,20
Super Duper Burgers,https://www.yelp.com/adredir?ad_business_id=mkwfPlHn2KmwDPe-EhGB5A&campaign_id=NAqM1aC5J9g7naoEx7JJ5A&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsuper-duper-burgers-san-francisco-12&request_id=4060d42de3903143&signature=330eafcce964cc5c5c4aa1eab356d3b7afaf71648d59dec8927a14d86b67f1d2&slot=0,(415) 517-4608,98 Mission St,4,523,Burgers,Financial District,
