Name,Borough/County,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
15 East,Manhattan,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,,,,,
A Voce Columbus,Manhattan,,1 Michelin star,1 Michelin star,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,,,,,
A Voce Madison,Manhattan,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,,,,,
Adour,Manhattan,,,,2 Michelin stars,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,,,,,,
Agern,Manhattan,,,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Ai Fiori,Manhattan,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Alain Ducasse at the Essex House,Manhattan,3 Michelin stars,,,,,,,,,,,,,,
Aldea,Manhattan,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Allen & Delancey,Manhattan,,,,1 Michelin star,,,,,,,,,,,
Alto,Manhattan,,,,1 Michelin star,2 Michelin stars,2 Michelin stars,,,,,,,,,
Andanada,Manhattan,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,,,
Annisa,Manhattan,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,,,,,
Anthos,Manhattan,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,,,,,,,,
L'Appart,Manhattan,,,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Aquavit,Manhattan,,,,,,,,1 Michelin star,1 Michelin star,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars
Aska,Brooklyn,,,,,,,,,1 Michelin star,,,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars
L'Atelier de Joël Robuchon,Manhattan,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,2 Michelin stars,,2 Michelin stars,2 Michelin stars,,,,,
Atera,Manhattan,,,,,,,,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars
Atomix,Manhattan,,,,,,,,,,,,,,1 Michelin star,2 Michelin stars
Aureole,Manhattan,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,
Babbo,Manhattan,1 Michelin star,1 Michelin star,1 Michelin star,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,
Bar Uchū,Manhattan,,,,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star
Bâtard,Manhattan,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Benno,Manhattan,,,,,,,,,,,,,,,1 Michelin star
Le Bernardin,Manhattan,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars
Betony,Manhattan,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,,,
Blanca,Brooklyn,,,,,,,,1 Michelin star,1 Michelin star,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars
