business_name,rating,review_count,price_category
Amazon Go,4.5 star rating,18,"Coffee & Tea, Grocery, Convenience Stores"
211. Piccolo Sogno,4 star rating,1245,$$$Italian
212. The Jibarito Stop,4.5 star rating,292,$Puerto Rican
213. Lawrence Fish Market,4.5 star rating,921,"$$Sushi Bars, Seafood"
214. El Asadero Colombiano,4.5 star rating,113,$$Colombian
215. The Smith,4 star rating,218,$$American (New)
216. Joe Willie’s Seafood and Bar,4 star rating,17,Seafood
217. Xoco,4 star rating,3617,"$$Mexican, Breakfast & Brunch, Sandwiches"
"218. Table, Donkey and Stick",4 star rating,436,"$$Modern European, Wine Bars, Cocktail Bars"
219. Philly Bros,4.5 star rating,246,"$$Halal, Cheesesteaks, Chicken Wings"
220. DMK Burger Bar,4 star rating,1964,$$Burgers
Amazon Go,4.5 star rating,20,"Grocery, Sandwiches, Fast Food"
201. Irazú Costa Rican Restaurant & Catering,4 star rating,2165,"$$Latin American, Venues & Event Spaces, Empanadas"
202. Qiao Lin Hotpot,5 star rating,57,"Hot Pot, Chinese"
203. The Pasta Bowl,4 star rating,944,$$Italian
204. Folklore Argentine Grill,4 star rating,712,"$$Argentine, Steakhouses, Comfort Food"
205. Chicken & Farm Shop,4 star rating,375,"$$American (Traditional), Southern, Chicken Shop"
206. Gather,4.5 star rating,854,"$$Wine Bars, American (New)"
207. 5 Rabanitos Restaurante and Taqueria,4 star rating,483,$$Mexican
208. Blue Door Kitchen & Garden,3.5 star rating,426,"$$American (Traditional), Comfort Food, Venues & Event Spaces"
209. Grandee Cuisine,4.5 star rating,290,"$$Dim Sum, Seafood, Cantonese"
210. Mr Dumpling,4 star rating,44,Chinese
Amazon Go,4.5 star rating,20,"Salad, Convenience Stores, Fast Food"
51. Perilla Korean American Fare,4.5 star rating,130,"Korean, Barbeque, Asian Fusion"
52. Three Dots and a Dash,4 star rating,3271,"$$Asian Fusion, Tiki Bars"
53. True Food Kitchen,4.5 star rating,809,"$$American (New), Vegetarian, Vegan"
54. Boka,4.5 star rating,1452,$$$American (New)
55. Khepri Cafe,5 star rating,16,Cafes
56. Roost Chicken & Biscuits,4 star rating,299,$$Southern
57. Quartino Ristorante,4 star rating,4709,"$$Italian, Wine Bars"
58. Shaw’s Crab House,4 star rating,2225,"$$$Seafood, Sushi Bars, Jazz & Blues"
59. MingHin Cuisine,4 star rating,2287,"$$Seafood, Dim Sum, Cantonese"
60. Jerky Jerk,4 star rating,50,Caribbean
Amazon Go,4 star rating,18,"Coffee & Tea, Convenience Stores, Salad"
221. Bari Subs and Italian Foods,4.5 star rating,758,"$Grocery, Delis, Sandwiches"
222. Jibaritos y Más,4 star rating,359,$Puerto Rican
223. Kizuki Ramen & Izakaya,4 star rating,687,"$$Ramen, Izakaya"
224. Flat Top Grill,3.5 star rating,626,$$Asian Fusion
225. Wyler Road,4 star rating,251,"$$Sandwiches, Beer, Wine & Spirits, Cafes"
226. Manny’s Cafeteria and Delicatessen,4 star rating,1017,"$$Delis, Breakfast & Brunch, Sandwiches"
227. MingHin Cuisine,4.5 star rating,59,"$$Dim Sum, Cantonese, Asian Fusion"
228. Kim & Carlo’s Hot Dog Stand,4.5 star rating,274,"$Hot Dogs, Food Stands"
229. Oriole,4.5 star rating,307,$$$$American (New)
230. Mima’s Taste of Cuba,4 star rating,385,"$Cuban, Latin American, Caribbean"
Amazon Go,4.5 star rating,20,"Coffee & Tea, Drugstores, Sandwiches"
111. Ali Baba Doner,5 star rating,133,"$$Turkish, German"
112. Tanta,4 star rating,1188,"$$$Peruvian, Bars"
113. Boqueria - Fulton Market,4.5 star rating,112,"$$$Spanish, Tapas Bars, Wine Bars"
114. Humboldt Haus Sandwich Bar,4.5 star rating,201,"$Sandwiches, Sports Bars"
115. Butcher & The Burger,4 star rating,1039,"$$Burgers, Breakfast & Brunch"
116. World Nutrition Smoothie and Juice Bar,5 star rating,1,"Juice Bars & Smoothies, Waffles, Creperies"
117. Seoul Taco,4 star rating,712,"$Korean, Mexican, Asian Fusion"
118. Gemini,4 star rating,503,"$$American (New), Bars"
119. Kabobi Grill,4.5 star rating,714,"$$Mediterranean, Persian/Iranian"
120. Namaste Chicago,4.5 star rating,44,"$$Indian, Himalayan/Nepalese"
Amazon Go,4.5 star rating,20,"Grocery, Fast Food, Salad"
131. Tortello,4.5 star rating,190,"$$Pasta Shops, Italian"
132. Pleasant House Pub,4.5 star rating,791,"$$British, Pubs, Breakfast & Brunch"
133. Opart Thai House,4 star rating,326,$$Thai
134. La Nonna,4.5 star rating,313,"$$Argentine, Italian"
135. Cleo’s Southern Cuisine,4.5 star rating,55,"Southern, Personal Chefs, Caterers"
136. Smoke Daddy,4 star rating,1270,"$$Barbeque, Music Venues"
137. Nando’s PERi-PERi,4 star rating,253,"$$Chicken Shop, Portuguese, South African"
138. Avli - River North,4 star rating,99,"Greek, Tapas/Small Plates"
139. Caspian Kabab Fine Persian Cuisine,4.5 star rating,126,"$Persian/Iranian, Seafood, Middle Eastern"
140. JIAO by Qing Xiang Yuan Dumplings,4 star rating,111,$$Chinese
Amazon Go,4 star rating,18,"Convenience Stores, Grocery, Sandwiches"
101. Gus’s World Famous Fried Chicken,4 star rating,684,"$$Chicken Shop, Southern, Comfort Food"
102. Rica Arepa,4.5 star rating,126,$Venezuelan
103. Sushi Taku,4.5 star rating,730,"$$Japanese, Sushi Bars"
