business_name,rating,review_count,price_range,category
Cheba Hut Toasted Subs - Wicker Park,5.0,13,,"['Sandwiches', 'American (Traditional)', 'Beer Bar']"
Au Cheval,4.5,7220,$$,"['Bars', 'American (Traditional)']"
The Purple Pig,4.0,7211,$$,"['Tapas/Small Plates', 'Mediterranean', 'Breakfast & Brunch']"
Girl & the Goat,4.5,8688,$$$,"['American (New)', 'Bakeries', 'Coffee & Tea']"
Little Goat,4.0,4590,$$,['Diners']
Penumbra,5.0,575,$$,"['Wine Bars', 'Seafood', 'Steakhouses']"
Serai,4.0,596,$$,"['Malaysian', 'Asian Fusion', 'Desserts']"
Smoque BBQ,4.5,4174,$$,['Barbeque']
etta,4.5,642,$$,"['Italian', 'American (New)', 'Breakfast & Brunch']"
The Perch,4.5,56,,"['Breweries', 'American (New)']"
Aba,4.5,813,$$$,"['Mediterranean', 'Tapas/Small Plates']"
Summer House Santa Monica,4.0,2391,$$,['American (Traditional)']
Greek Islands Restaurant,4.0,1864,$$,"['Greek', 'Mediterranean']"
Cafe Ba-Ba-Reeba!,4.0,4141,$$,"['Spanish', 'Tapas Bars', 'Venues & Event Spaces']"
Avec,4.5,2179,$$$,"['French', 'Mediterranean']"
Little Bad Wolf,4.5,1580,$$,"['American (Traditional)', 'Beer Bar', 'Cocktail Bars']"
Mother Cluckers Kitchen - Chicago,4.5,810,$$,"['Southern', 'American (Traditional)']"
Qing Xiang Yuan Dumplings,4.0,983,$$,"['Barbeque', 'Dim Sum']"
Bienmesabe,4.0,452,$$,['Venezuelan']
Maple & Ash,4.5,1433,$$$$,"['Steakhouses', 'Seafood', 'Breakfast & Brunch']"
Portillo’s Hot Dogs,4.0,5615,$,"['Hot Dogs', 'Salad', 'Burgers']"
Ema,4.5,1031,$$,"['Mediterranean', 'Tapas/Small Plates']"
"Joe’s Seafood, Prime Steak & Stone Crab",4.5,2490,$$$,"['Seafood', 'Steakhouses']"
Aloha Eats,4.0,962,$$,"['Hawaiian', 'Barbeque']"
KFire,5.0,49,,"['Korean', 'Barbeque', 'Salad']"
Forbidden Root,4.5,473,$$,"['Brewpubs', 'Tapas/Small Plates', 'Cocktail Bars']"
RAMEN-SAN,4.0,2280,$$,['Ramen']
Sapori Trattoria,4.5,2258,$$,"['Italian', 'Desserts']"
Crisp,4.5,3192,$$,"['Korean', 'Chicken Wings']"
Lawn Restaurant - Hamburger,5.0,24,,"['Cheesesteaks', 'Burgers', 'Waffles']"
Giant,4.5,455,$$$,"['American (New)', 'Beer Bar', 'Wine Bars']"
Cafe Istanbul,4.5,154,$$,"['Turkish', 'Mediterranean']"
Kennedy Rooftop,4.0,61,,"['Cocktail Bars', 'American (New)']"
JJ Thai Street Food,4.5,367,$$,['Thai']
Doc B’s Restaurant + Bar,4.5,782,$$,"['American (New)', 'Bars']"
Happy Lamb Hot Pot,4.5,531,$$,"['Mongolian', 'Hot Pot', 'Chinese']"
Cabra,4.0,411,$$$,['Peruvian']
The Gage,4.0,2865,$$,"['Gastropubs', 'American (New)', 'Breakfast & Brunch']"
HaiSous Vietnamese Kitchen,4.0,394,$$,['Vietnamese']
Small Cheval,4.5,1146,$$,"['Burgers', 'American (Traditional)']"
Del Seoul,4.5,2101,$,"['Korean', 'Asian Fusion', 'American (New)']"
Amaru,5.0,140,,"['Latin American', 'Caribbean', 'Cocktail Bars']"
Doc B’s Restaurant + Bar,4.5,801,$$,"['American (New)', 'Bars']"
Arbella,4.5,447,$$,"['Tapas/Small Plates', 'Cocktail Bars', 'American (New)']"
The Warbler,4.5,265,$$,['American (New)']
Landbirds,4.5,295,$$,"['Chicken Wings', 'Asian Fusion']"
Alinea,4.5,2265,$$$$,"['American (New)', 'Modern European']"
Athenian Room,4.0,755,$$,"['Greek', 'Mediterranean']"
Crazy Bird,4.5,129,$,"['Chicken Wings', 'American (Traditional)']"
Tejanos,4.5,14,,['Tex-Mex']
Perilla Korean American Fare,4.5,130,,"['Korean', 'Barbeque', 'Asian Fusion']"
Three Dots and a Dash,4.0,3271,$$,"['Asian Fusion', 'Tiki Bars']"
True Food Kitchen,4.5,809,$$,"['American (New)', 'Vegetarian', 'Vegan']"
Boka,4.5,1452,$$$,['American (New)']
Khepri Cafe,5.0,16,,['Cafes']
Roost Chicken & Biscuits,4.0,299,$$,['Southern']
Quartino Ristorante,4.0,4709,$$,"['Italian', 'Wine Bars']"
Shaw’s Crab House,4.0,2225,$$$,"['Seafood', 'Sushi Bars', 'Jazz & Blues']"
MingHin Cuisine,4.0,2287,$$,"['Seafood', 'Dim Sum', 'Cantonese']"
Jerky Jerk,4.0,50,,['Caribbean']
Lao Peng You,4.0,77,$$,['Chinese']
Portillo’s Hot Dogs,2.5,22,,"['Hot Dogs', 'Salad', 'Burgers']"
Lucy’s,4.0,164,$$,['American (Traditional)']
Wildberry Pancakes and Cafe,4.5,7550,$$,"['Pancakes', 'Waffles', 'Cafes']"
Revival Food Hall,4.0,448,$$,['Food Court']
Green Street Smoked Meats,4.5,1676,$$,"['Barbeque', 'Cocktail Bars', 'Beer Bar']"
Pinched on the River,4.5,122,$$,"['Mediterranean', 'Wine Bars']"
King Chicago Indian Cuisine,4.5,4,,['Indian']
Mott St,4.0,783,$$,"['Asian Fusion', 'Bars']"
Fry The Coop,4.5,93,$$,"['American (Traditional)', 'Waffles', 'Sandwiches']"
Flat & Point,4.0,98,,['American (New)']
Barangaroos Aussie Pies,4.5,55,,['Australian']
Nando’s Peri-Peri,3.5,138,$$,"['South African', 'Chicken Shop', 'Portuguese']"
Hawaiian Bros,4.5,20,,['Hawaiian']
Volare Ristorante Italiano,4.0,2120,$$,['Italian']
Tempesta Market,4.5,193,$$,"['International Grocery', 'Meat Shops', 'Delis']"
Galit,4.0,196,$$,"['Mediterranean', 'Middle Eastern', 'Vegetarian']"
Brown Bag Seafood,4.0,115,$$,"['Seafood', 'Salad', 'Sandwiches']"
Takorea Cocina,4.5,93,$,"['Korean', 'Tacos']"
Silli Kori,4.5,257,$$,"['Thai', 'Asian Fusion']"
River Roast,4.0,948,$$,"['American (Traditional)', 'Gastropubs']"
En Hakkore 2.0,4.5,462,$$,"['Asian Fusion', 'Poke', 'Sushi Bars']"
Marz Community Brewing,4.5,119,$$,"['Breweries', 'American (New)']"
Three Wheels Noodle,4.5,116,$$,['Thai']
The Gundis,4.5,414,$$,"['Mediterranean', 'Middle Eastern']"
Roost Chicken & Biscuits,4.0,760,$$,"['Southern', 'Desserts', 'American (Traditional)']"
Luna Empanada Shop,5.0,210,$$,"['Sandwiches', 'Colombian', 'Empanadas']"
Athena Greek Restaurant,3.5,762,$$,"['Greek', 'Mediterranean']"
Sea & Olive,4.0,48,,"['Mediterranean', 'Greek', 'Cocktail Bars']"
Phodega,4.5,86,$$,"['Vietnamese', 'Hainan', 'Noodles']"
La Taberna Tapas,3.5,267,$$,"['Spanish', 'Tapas Bars']"
Naf Naf Grill,4.0,524,$,"['Middle Eastern', 'Falafel', 'Salad']"
Kai Sushi,4.0,636,$$,"['Sushi Bars', 'Japanese']"
Kuma’s Corner - Belmont,4.0,5052,$$,"['Burgers', 'American (Traditional)', 'Cocktail Bars']"
RPM Italian,4.0,3131,$$$,['Italian']
Papa’s Cache Sabroso,4.0,527,$$,"['Latin American', 'Puerto Rican', 'Chicken Shop']"
Crave Kabob,4.5,256,$$,"['Mediterranean', 'Middle Eastern']"
Kimchi Pop,4.5,145,$$,['Korean']
Kabobchi,4.5,72,,['Mediterranean']
Pl-zen,4.0,380,$$,['Gastropubs']
Gus’s World Famous Fried Chicken,4.0,684,$$,"['Chicken Shop', 'Southern', 'Comfort Food']"
Rica Arepa,4.5,126,$,['Venezuelan']
Sushi Taku,4.5,730,$$,"['Japanese', 'Sushi Bars']"
Honey Butter Fried Chicken,4.0,1975,$$,"['Chicken Shop', 'Fast Food', 'Breakfast & Brunch']"
Bavette’s Bar & Boeuf,4.5,2394,$$$,"['Steakhouses', 'Seafood', 'Bars']"
