business_name,rating,review_count,price_category
Crystal City Restaurant Gentleman’s Club,3 star rating,83,"$$American (New), Bars, Strip Clubs"
201. Due South,3.5 star rating,548,"$$Southern, Barbeque"
202. Shawarma District,4.5 star rating,43,"$Mediterranean, Salad, Wraps"
203. Moh Moh Licious,4.5 star rating,78,"$Himalayan/Nepalese, Asian Fusion"
204. The Best Sandwich Place,4.5 star rating,56,"$Breakfast & Brunch, Sandwiches, Wraps"
205. Pho Viet,4 star rating,710,$$Vietnamese
206. The Capital Grille,4.5 star rating,883,"$$$Steakhouses, Seafood, Wine Bars"
207. Hitching Post,4 star rating,269,"$$Southern, Soul Food, Tapas/Small Plates"
208. Poke Papa,4.5 star rating,749,"$$Poke, Hawaiian"
209. Little Miner Taco,4 star rating,323,"$$Tacos, Latin American"
210. Haikan,4 star rating,462,$$Ramen
Crystal City Restaurant Gentleman’s Club,3 star rating,83,"$$Bars, American (New), Strip Clubs"
171. Seven Reasons,4.5 star rating,217,"$$$Latin American, Cocktail Bars"
172. Timber Pizza Company,4.5 star rating,459,$$Pizza
173. Creole on 14th,3.5 star rating,59,Cajun/Creole
174. Good Stuff Eatery,3.5 star rating,1899,$$Burgers
175. Nando’s PERi-PERi,4 star rating,168,"$$Chicken Shop, Portuguese, South African"
176. Tail Up Goat,4.5 star rating,677,"$$$Cocktail Bars, American (New), Italian"
177. FishScale,4.5 star rating,114,"$$Burgers, Seafood, Fish & Chips"
178. Crab Boss,4 star rating,45,"Seafood, Cajun/Creole"
179. Primrose,4 star rating,142,"$$French, Bars, Comfort Food"
180. Fogo de Chão Brazilian Steakhouse,4 star rating,1857,"$$$Brazilian, Steakhouses"
Crystal City Restaurant Gentleman’s Club,3 star rating,83,"$$Bars, American (New), Strip Clubs"
121. Medium Rare,4 star rating,945,"$$Steakhouses, American (New), Desserts"
122. Ambar,4.5 star rating,1283,$$Modern European
123. King Street Oyster Bar,4.5 star rating,130,"$$Seafood, Breakfast & Brunch, American (Traditional)"
124. Emilie’s,4 star rating,122,American (New)
125. Library Tavern,4.5 star rating,74,"$$Persian/Iranian, Middle Eastern, Hookah Bars"
126. Surfside Taco Stand,4 star rating,505,"$$Tex-Mex, Caribbean"
127. Cafe Fili,5 star rating,43,"Mediterranean, Tapas/Small Plates"
128. Mama Ayesha’s,4 star rating,524,"$$Middle Eastern, Mediterranean"
129. Queen’s English,4 star rating,106,"Hong Kong Style Cafe, Cocktail Bars"
130. Rasika,4.5 star rating,3111,$$$Indian
Crystal City Restaurant Gentleman’s Club,3 star rating,83,"$$Strip Clubs, Bars, American (New)"
141. Ircia’s Kitchen Restaurant,4.5 star rating,6,Salvadoran
142. Lucky Buns,4 star rating,379,"$$American (New), Bars, Burgers"
143. Jackie - American Bistro,4 star rating,26,American (New)
144. Shaw’s Tavern,3.5 star rating,667,$$Gastropubs
145. Filomena Ristorante,4 star rating,2630,"$$$Italian, Wine Bars"
146. Charcoal Town Shawarma,4 star rating,230,"$Mediterranean, Middle Eastern, Kebab"
147. Bub and Pop’s,4.5 star rating,875,"$$Sandwiches, American (Traditional), Delis"
"148. Joe’s Seafood, Prime Steak & Stone Crab",4.5 star rating,1456,"$$$Seafood, Steakhouses, Breakfast & Brunch"
149. 14th St Cafe Asian Bistro,4 star rating,211,$$Chinese
150. GCDC Grilled Cheese Bar,3.5 star rating,556,"$$American (Traditional), Comfort Food"
161. MANA,4.5 star rating,28,"Food Trucks, Hawaiian, Pop-Up Restaurants"
162. Hazel,4 star rating,352,"$$$American (New), Mediterranean, Turkish"
163. BlackSalt,4 star rating,933,"$$$Seafood, American (New)"
164. Milk & Honey,3.5 star rating,104,"$$American (New), Bars"
165. Shawarma Hut,4 star rating,31,"Mediterranean, Halal, Pakistani"
166. JINYA Ramen Bar,4 star rating,815,"$$Ramen, Izakaya"
167. District Rico,4 star rating,267,$$Peruvian
168. Iron Gate,4 star rating,621,"$$$American (New), Greek"
169. Butter Chicken Company 2,4.5 star rating,49,Indian
170. Grazie Grazie,4.5 star rating,166,"$$Salad, Sandwiches"
Crystal City Restaurant Gentleman’s Club,3 star rating,83,"$$Strip Clubs, Bars, American (New)"
151. Karibbean Kitchen,4 star rating,131,$$Caribbean
152. Supra,4 star rating,450,"$$Bars, Georgian"
153. Call Your Mother,4 star rating,32,"Delis, Bagels"
154. Captain White’s Seafood,3.5 star rating,823,"$$Seafood Markets, Seafood"
155. Little Sesame,4.5 star rating,222,"$$Middle Eastern, Mediterranean"
156. Retrobottega,4.5 star rating,98,"$$Tapas/Small Plates, Italian"
157. Kura Revolving Sushi Bar,5 star rating,18,"Sushi Bars, Conveyor Belt Sushi"
158. Estuary,4 star rating,111,Seafood
159. Glassey,4.5 star rating,32,Indian
160. Grillfish DC,4 star rating,804,$$Seafood
Crystal City Restaurant Gentleman’s Club,3 star rating,83,"$$Strip Clubs, American (New), Bars"
131. Copycat Co,4.5 star rating,619,"$$Cocktail Bars, Chinese"
132. Boqueria Dupont,4 star rating,1239,"$$$Tapas Bars, Spanish"
133. DC Noodles,4 star rating,640,$$Noodles
134. Arepa Zone,4 star rating,197,$$Venezuelan
135. Cafe U,5 star rating,2,Cafes
136. China Boy,4 star rating,419,$Chinese
137. Vintage78,4 star rating,55,"Persian/Iranian, American (New)"
138. Taco City DC,4.5 star rating,174,$$Mexican
139. Lapis,4.5 star rating,536,"$$Afghan, Cocktail Bars, Halal"
140. HipCityVeg,4.5 star rating,941,"$$Vegetarian, Vegan"
Crystal City Restaurant Gentleman’s Club,3 star rating,83,"$$Strip Clubs, American (New), Bars"
61. Baan Siam,5 star rating,72,Thai
62. Chloe,4.5 star rating,374,"$$American (New), Modern European"
63. Slate Wine Bar,3.5 star rating,200,"$$Wine Bars, American (New)"
64. SeoulSpice,4 star rating,329,"$$Korean, Gluten-Free, Comfort Food"
65. Sospeso,4.5 star rating,205,"$$Mediterranean, Bars"
66. Federalist Pig,4.5 star rating,602,"$$Barbeque, Sandwiches, Chicken Wings"
67. The Fainting Goat,4 star rating,696,"$$American (New), Cocktail Bars"
68. Mi Vida Restaurante,4 star rating,807,$$Mexican
69. Albi,4.5 star rating,61,Lebanese
70. Lutèce,4.5 star rating,9,"French, Bars"
Crystal City Restaurant Gentleman’s Club,3 star rating,83,"$$Bars, American (New), Strip Clubs"
211. Benitos Place,5 star rating,74,"$$Latin American, Honduran"
