business_name,rating,review_count,price_range,category
Le Diplomate,4.5,3596,$$$,"['Brasseries', 'French', 'Breakfast & Brunch']"
Gypsy Kitchen,4.5,70,,"['Tapas/Small Plates', 'Mediterranean']"
Butter Me Up,4.5,103,,['Breakfast & Brunch']
The Block,5.0,12,,"['Food Court', 'Bars', 'Asian Fusion']"
The Alibi,4.5,441,$$,"['Pubs', 'Sandwiches', 'Barbeque']"
Old Ebbitt Grill,4.0,8511,$$,"['Bars', 'American (Traditional)', 'Breakfast & Brunch']"
il Canale,4.5,3239,$$,"['Italian', 'Pizza']"
Mr Braxton Bar & Kitchen,4.5,198,$$,"['American (New)', 'Cocktail Bars']"
Cane,4.5,278,$$,['Caribbean']
Reren,4.0,1899,$$,"['Ramen', 'Asian Fusion']"
Ambar,4.5,1588,$$,['Modern European']
Farmbird,5.0,603,$$,"['Chicken Shop', 'American (New)', 'American (Traditional)']"
Hot N Juicy Crawfish,4.0,1843,$$,"['Seafood', 'Cajun/Creole']"
Call Your Mother,4.5,416,$$,"['Bagels', 'Delis']"
Founding Farmers - Washington,4.0,13820,$$,"['American (Traditional)', 'Coffee & Tea', 'Breakfast & Brunch']"
Makan,4.5,40,,['Malaysian']
The Pig,4.0,1862,$$,"['Barbeque', 'American (New)', 'Whiskey Bars']"
Maydan,4.5,826,$$,"['Moroccan', 'Lebanese']"
Duke’s Counter,4.5,442,$$,"['Burgers', 'Pubs', 'Sandwiches']"
Republic Cantina,4.5,127,,['Tex-Mex']
Mecho’s Dominican Kitchen,4.5,89,$$,['Dominican']
Bombay Street Food,4.0,364,$$,['Indian']
Boqueria Penn Quarter,4.5,238,,"['Spanish', 'Tapas Bars', 'Tapas/Small Plates']"
1914 By Kolben,5.0,36,,['Vietnamese']
Supreme Hot Pot,5.0,15,,"['Hot Pot', 'Seafood', 'Kebab']"
Roaming Rooster,4.5,419,,"['Chicken Shop', 'American (Traditional)']"
Moon Rabbit,5.0,17,,"['Vietnamese', 'Seafood', 'Cocktail Bars']"
Bammy’s,4.5,55,,['Caribbean']
The Grill,4.0,111,,"['American (Traditional)', 'Steakhouses']"
Copacabana,5.0,5,,['Brazilian']
Prost,5.0,14,,"['German', 'Breakfast & Brunch', 'Sandwiches']"
Rooster & Owl,4.5,128,,"['American (New)', 'Tapas/Small Plates']"
Thip Khao,4.5,1138,$$,['Laotian']
The Hamilton,4.0,2534,$$,"['Seafood', 'American (New)', 'Music Venues']"
Zaytinya,4.0,4683,$$$,"['Greek', 'Turkish', 'Lebanese']"
Rose’s Luxury,4.5,1969,$$$,"['American (New)', 'Italian', 'Tapas/Small Plates']"
Bonchon Navy Yard,4.0,483,$$,"['Chicken Wings', 'Korean', 'Asian Fusion']"
Taqueria Habanero,4.5,847,$$,"['Mexican', 'Cocktail Bars']"
Proper 21,4.0,527,$$,"['Bars', 'American (New)']"
Chicken + Whiskey,4.0,441,$$,"['Venezuelan', 'Peruvian', 'Sandwiches']"
Unconventional Diner,4.5,1156,$$,"['American (New)', 'Breakfast & Brunch']"
Nina May,4.5,123,$$$,['American (New)']
Luke’s Lobster Penn Quarter,4.0,1382,$$,['Seafood']
Mi Cuba Cafe,4.5,629,$$,"['Cuban', 'Latin American', 'Sandwiches']"
Taqueria Xochi,4.0,22,,['Mexican']
Dumplings & Beyond,4.0,434,$$,['Chinese']
Pisco Y Nazca,4.5,829,$$,"['Peruvian', 'Cocktail Bars']"
Bad Saint,4.0,605,$$$,['Filipino']
Busboys and Poets - 450K,4.0,2353,$$,"['American (Traditional)', 'Breakfast & Brunch', 'Mediterranean']"
Maketto,4.0,972,$$,"['Cafes', 'Cambodian', 'Taiwanese']"
Donburi,4.5,816,$$,['Japanese']
Da Hong Pao,4.0,702,$$,"['Cantonese', 'Dim Sum', 'Szechuan']"
La Betty,4.5,55,,['American (New)']
Ottoman Taverna,4.5,449,$$,"['Mediterranean', 'Turkish', 'Halal']"
Chiko,4.5,167,$$,"['Chinese', 'Korean']"
Farmers Fishers Bakers,4.0,3747,$$,"['American (New)', 'Breakfast & Brunch', 'Seafood']"
DCity Smokehouse,4.0,402,$$,"['Barbeque', 'Smokehouse', 'Chicken Wings']"
Estadio,4.0,1161,$$,"['Spanish', 'Tapas/Small Plates']"
District Taco,4.0,1598,$,['Mexican']
Los Hermanos,4.5,553,$,['Dominican']
Baan Siam,5.0,72,,['Thai']
Chloe,4.5,374,$$,"['American (New)', 'Modern European']"
Slate Wine Bar,3.5,200,$$,"['Wine Bars', 'American (New)']"
SeoulSpice,4.0,329,$$,"['Korean', 'Gluten-Free', 'Comfort Food']"
Sospeso,4.5,205,$$,"['Mediterranean', 'Bars']"
Federalist Pig,4.5,602,$$,"['Barbeque', 'Sandwiches', 'Chicken Wings']"
The Fainting Goat,4.0,696,$$,"['American (New)', 'Cocktail Bars']"
Mi Vida Restaurante,4.0,807,$$,['Mexican']
Albi,4.5,61,,['Lebanese']
Lutèce,4.5,9,,"['French', 'Bars']"
S&G Seafood House,4.5,31,$,['Seafood']
Roaming Rooster,4.5,24,,"['Chicken Shop', 'American (Traditional)']"
ANKARA,4.0,653,$$,"['Mediterranean', 'Turkish']"
Bun DC,4.5,76,,['Vietnamese']
Huacatay Peruvian Chicken,4.5,160,$,"['Peruvian', 'Chicken Shop']"
Indigo,4.5,861,$$,['Indian']
Dolan Uyghur Restaurant,4.0,260,$$,"['Asian Fusion', 'Halal', 'Kebab']"
Mazi,4.5,161,,['American (New)']
A Baked Joint,4.5,1912,$,"['Coffee & Tea', 'Breakfast & Brunch', 'Sandwiches']"
Shouk,4.5,667,$$,"['Middle Eastern', 'Vegan', 'Kosher']"
Del Mar,4.0,583,$$$,"['Spanish', 'Seafood', 'Cocktail Bars']"
The Capital Burger,4.0,567,$$,"['Burgers', 'American (New)', 'Cocktail Bars']"
Sababa,4.0,188,$$$,['Middle Eastern']
Right Proper Brewing Company,4.0,694,$$,"['Gastropubs', 'Breweries']"
Yafa Grille,4.0,162,$,"['Middle Eastern', 'Mediterranean', 'Halal']"
