business_name,rating,review_count,price_range,category
FishPop,5.0,36,,"['Fish & Chips', 'Pop-Up Restaurants']"
Running Goose,4.5,1077,$$,"['Tapas/Small Plates', 'Gastropubs', 'Latin American']"
Howlin’ Ray’s,4.5,6543,$$,"['Southern', 'Chicken Shop', 'American (Traditional)']"
Republique,4.0,5607,$$,"['French', 'Breakfast & Brunch', 'Cocktail Bars']"
The Rooftop at The Wayfarer Downtown LA,4.0,80,$$$,"['American (New)', 'Cocktail Bars', 'Tiki Bars']"
Dave’s Hot Chicken,4.5,3343,$$,"['Chicken Shop', 'Halal']"
SUPAMU,4.5,8,,['Japanese']
Bao Dim Sum House,4.0,3003,$$,"['Dim Sum', 'Bars', 'Tapas/Small Plates']"
Woo Hyang Woo,5.0,90,,"['Korean', 'Barbeque', 'Bars']"
The Barish,5.0,4,,"['American (New)', 'Steakhouses', 'Italian']"
Hangari Kalguksu,4.5,1708,$$,"['Korean', 'Noodles']"
Wurstküche,4.0,8422,$$,"['Hot Dogs', 'German', 'Gastropubs']"
Easy Street Burgers,4.5,108,$,['Burgers']
Langer’s Delicatessen,4.5,3824,$$,"['Delis', 'Sandwiches']"
Eat This Cafe,4.5,1262,$$,"['Breakfast & Brunch', 'Sandwiches', 'Salad']"
Strada Eateria & Bar,5.0,352,$$,"['Tapas/Small Plates', 'Bars', 'American (New)']"
Carousel Restaurant,4.5,748,$$,"['Armenian', 'Lebanese']"
Perch,4.0,8040,$$$,"['Lounges', 'French', 'Breakfast & Brunch']"
E Stretto East Hollywood,5.0,5,,['Sandwiches']
Pine & Crane,4.5,2322,$$,"['Taiwanese', 'Chinese', 'Bubble Tea']"
Pine & Crane,4.5,2322,$$,"['Taiwanese', 'Chinese', 'Bubble Tea']"
Cannabis Cafe,3.5,676,,"['Cannabis Dispensaries', 'Cafes']"
Philippe the Original,4.0,6270,$,"['Sandwiches', 'Breakfast & Brunch', 'American (Traditional)']"
La Pinata,3.5,11,,"['Mexican', 'Cocktail Bars', 'Breakfast & Brunch']"
Mizlala,4.5,314,$$,"['Falafel', 'Middle Eastern']"
JOEY DTLA,4.5,1000,,['American (New)']
BROKEN MOUTH | Lee’s Homestyle,5.0,892,$$,"['Asian Fusion', 'Hawaiian', 'Korean']"
Everyday Pocha,5.0,9,,['Korean']
Angry Egret Dinette,5.0,7,,['Sandwiches']
Morrison Atwater Village,4.5,4424,$$,"['Burgers', 'Bars']"
Marugame Monzo,4.5,3766,$$,"['Japanese', 'Noodles', 'Asian Fusion']"
Osteria Mamma,4.0,1645,$$,"['Italian', 'Wine Bars']"
Guelaguetza Restaurante,4.0,2317,$$,['Mexican']
Papi Tacos & Churros,4.0,410,,['Tacos']
La Pergoletta,4.5,917,$$,['Italian']
Kang Ho-dong Baekjeong,4.5,4322,$$,"['Barbeque', 'Korean']"
Yuk Dae Jang,4.5,559,$$,"['Korean', 'Comfort Food', 'Soup']"
Yup Dduk LA,4.5,2069,$$,['Korean']
Pink’s Hot Dogs,3.5,7148,$,['Hot Dogs']
