business_name,rating,review_count,price_range,category
Birria Landia Williamsburg,5.0,13,,"['Food Trucks', 'Tacos']"
Jacob’s Pickles,4.0,4276,$$,"['Comfort Food', 'Southern', 'American (Traditional)']"
Amélie,4.5,2693,$$,"['French', 'Wine Bars']"
The Osprey,4.0,227,$$,['American (New)']
Peak,5.0,16,,"['American (New)', 'Cocktail Bars', 'Venues & Event Spaces']"
Win Son Bakery,4.0,125,$$,"['Bakeries', 'Cafes']"
Hometown Bar-B-Que,4.0,1405,$$,"['Barbeque', 'Smokehouse']"
Thai Villa,4.5,3472,$$,"['Thai', 'Asian Fusion']"
Luke’s Lobster Brooklyn Bridge Park,4.0,341,$$,['Seafood']
Kokomo,4.5,169,,['Caribbean']
Red Hook Lobster Pound,4.0,1132,$$,['Seafood']
Luke’s Lobster FiDi,4.5,1161,$$,['Seafood']
Katz’s Delicatessen,4.0,12465,$$,"['Delis', 'Sandwiches', 'Soup']"
Jacob’s Pickles Time Out Market,4.5,42,$$,"['Comfort Food', 'Southern']"
Roberta’s,4.5,3,,['Pizza']
Joe’s Shanghai,4.0,6240,$$,"['Shanghainese', 'Seafood', 'Noodles']"
Chama Mama,4.5,323,$$,"['Georgian', 'Wine Bars', 'Cocktail Bars']"
Pasta Louise,5.0,45,,"['Italian', 'Pasta Shops', 'Sandwiches']"
Yakiniku West,4.0,697,$$,"['Japanese', 'Barbeque']"
Ippudo NY,4.0,10008,$$,['Ramen']
Juliana’s Pizza,4.5,2241,$$,['Pizza']
Oxomoco,4.0,314,$$$,['Mexican']
LoveMama,4.5,5133,$$,"['Thai', 'Malaysian', 'Vietnamese']"
Thai Farm Kitchen Seaport,4.5,51,,['Thai']
Whiskey Tavern,4.5,783,$$,"['Whiskey Bars', 'Burgers', 'Chicken Wings']"
Medusa Greek Taverna,4.5,64,,"['Greek', 'Mediterranean']"
The Food Sermon Kitchen,4.5,265,$$,['Caribbean']
Los Tacos No. 1,4.5,177,$,['Tacos']
Sally’s Southern,4.0,42,,"['Southern', 'Cocktail Bars']"
Upstate Craft Beer & Oyster Bar,4.5,1873,$$,['Seafood']
City Vineyard,4.0,921,$$,"['Wine Bars', 'American (New)', 'Venues & Event Spaces']"
OBAO,4.0,2629,$$,"['Vietnamese', 'Thai', 'Asian Fusion']"
Aoi Kitchen,4.5,90,$$,"['Izakaya', 'Japanese Curry']"
Lobster Joint,4.0,661,$$,['Seafood']
Fat Choy,5.0,12,,['Chinese']
Crab House All You Can Eat Seafood,4.0,111,,"['Buffets', 'Seafood', 'Cajun/Creole']"
The Halal Guys,4.0,9520,$,"['Food Stands', 'Middle Eastern', 'Halal']"
Rangoon,4.0,36,,['Burmese']
Peaches Low Country Kitchen,5.0,1,,"['Southern', 'Comfort Food', 'Salad']"
Up Thai,4.5,2353,$$,"['Thai', 'Asian Fusion']"
Sons of Thunder,4.5,762,$$,"['Hawaiian', 'Hot Dogs', 'Poke']"
BoCaphe,4.0,1544,$$,"['Vietnamese', 'Breakfast & Brunch', 'French']"
Bobwhite Counter,4.5,807,$$,"['Southern', 'Comfort Food', 'Beer', 'Wine & Spirits']"
Eleni’s,4.5,53,,['Greek']
Sixth Ward,4.5,11,,['Gastropubs']
Huli Huli Hawaiian Rotisserie,4.5,22,,['Hawaiian']
Pastis,4.0,198,$$$,['French']
The Smith,4.0,2673,$$,"['American (New)', 'Breakfast & Brunch', 'Cocktail Bars']"
Sea Wolf - Bushwick,4.0,499,$$,"['Cocktail Bars', 'Seafood', 'American (Traditional)']"
Farida Central Asian Cuisine & Grill,4.0,335,$$,"['Uzbek', 'Russian', 'Halal']"
Kopitiam,4.0,672,$$,"['Malaysian', 'Singaporean']"
Tradisyon,4.5,79,,"['Filipino', 'Comfort Food']"
Birria-Landia,4.5,241,$,"['Food Trucks', 'Tacos']"
Amy Ruth’s,4.0,2647,$$,"['Southern', 'Soul Food']"
Defontes,4.5,348,$$,['Sandwiches']
Cafe Mogador,4.5,1181,$$,"['Moroccan', 'Breakfast & Brunch', 'Mediterranean']"
Win Son,4.0,498,$$,"['Taiwanese', 'American (New)', 'Asian Fusion']"
NAYA,4.5,147,$,"['Lebanese', 'Mediterranean']"
Saigon Social,4.5,57,,['Vietnamese']
SriPraPhai Thai Restaurant,4.0,2364,$$,['Thai']
Westville Dumbo,4.0,309,$$,"['American (New)', 'Comfort Food']"
Yoon Haeundae Galbi,4.5,462,$$$,"['Korean', 'Barbeque', 'Steakhouses']"
Soco,4.0,2162,$$,"['Cajun/Creole', 'Barbeque', 'Soul Food']"
Forma Pasta Factory,4.5,217,$$,"['Pasta Shops', 'Italian', 'Salad']"
Traif,4.5,1873,$$$,"['American (New)', 'Tapas/Small Plates']"
Claw Daddy’s,4.0,490,$$,"['Cajun/Creole', 'Seafood']"
Woorijip,4.0,2646,$,['Korean']
Xiang Hotpot-Brooklyn,4.0,118,$$$,"['Chinese', 'Hot Pot']"
Madre,5.0,66,$$$,['American (New)']
Merchants River House,4.0,488,$$,['American (New)']
Paesano of Mulberry Street,4.0,960,$$,"['Italian', 'Salad', 'Seafood']"
Burger & Lobster - Flatiron NYC,4.0,5452,$$,"['Seafood', 'Burgers', 'American (New)']"
Bogota Latin Bistro,4.0,2244,$$,"['Gluten-Free', 'Colombian']"
Amy Thai Bistro,4.5,120,$$,['Thai']
Sushi Lab Rooftop NYC,4.5,86,,"['Japanese', 'Sushi Bars', 'Tapas/Small Plates']"
Peter Luger,4.0,5800,$$$$,['Steakhouses']
Don Wagyu,4.0,53,,['Japanese']
Celestine,4.0,228,$$$,"['Mediterranean', 'Bars']"
Thursday Kitchen,4.5,1352,$$,"['Korean', 'American (New)', 'Tapas/Small Plates']"
Hao Noodle - West Village,4.0,755,$$,"['Chinese', 'Noodles']"
Le Crocodile,4.5,58,,"['French', 'Wine Bars', 'Cocktail Bars']"
Ñaño Ecuadorian Kitchen,4.5,560,$$,"['Latin American', 'Bars']"
Rice kitchen,5.0,34,,"['Korean', 'Barbeque']"
Time Out Market New York,3.5,247,$$,['Food Court']
Hao Noodle Chelsea,4.5,414,$$,"['Chinese', 'Barbeque', 'Noodles']"
