business_name,rating,review_count,price_range,category
Wawa Thai Food,5.0,16,,['Thai']
World Famous Hotboys,4.5,689,$$,['Southern']
Daughter Thai Kitchen,4.0,1143,$$,"['Thai', 'Cocktail Bars']"
Farmhouse Kitchen Thai Cuisine,4.0,1110,$$,"['Thai', 'Cocktail Bars', 'Desserts']"
Pomella,4.5,177,,['Middle Eastern']
Kitchen Story,4.0,253,$$,"['Breakfast & Brunch', 'Asian Fusion', 'American (New)']"
Homeroom,4.0,5734,$$,"['American (Traditional)', 'Comfort Food']"
Shawarmaji,4.5,126,$$,"['Mediterranean', 'Sandwiches', 'Arabian']"
Falafel Boy,4.5,171,$$,"['Falafel', 'Lebanese']"
Drake’s Dealership,4.0,1892,$$,"['Breweries', 'American (Traditional)', 'Pizza']"
Nyum Bai,4.0,452,$$,['Cambodian']
La Perla,4.5,164,$$,['Puerto Rican']
Phnom Penh House Restaurant,4.5,425,$$,"['Cambodian', 'Asian Fusion']"
Burma Superstar,4.0,2403,$$,['Burmese']
T&T Seafood #2,5.0,6,,"['Chicken Wings', 'Seafood', 'Fish & Chips']"
L’acajou Bakery & Cafe,4.0,164,$$,"['Cafes', 'Bakeries']"
Cozy Wok,4.5,11,,"['Vegetarian', 'Chinese', 'Vegan']"
Shakewell,4.0,867,$$,"['Bars', 'Mediterranean', 'Spanish']"
Perle Wine Bar,4.5,290,$$$,"['Wine Bars', 'French', 'Cocktail Bars']"
Lucky Three Seven,4.0,478,$$,['Filipino']
Gus’s World Famous Fried Chicken,4.0,141,,['Chicken Shop']
Kokolo Donburi & Grill,4.0,111,$$,"['Japanese Curry', 'Tapas/Small Plates']"
MZ Kettle’s BBQ,4.5,44,$$,"['Southern', 'Barbeque']"
Hawking Bird,4.0,287,$$,['Asian Fusion']
Horn Barbecue,4.0,73,,['Barbeque']
A+ Burger,4.5,479,$$,['Burgers']
Fusion Kitchen,4.5,145,$$,"['Asian Fusion', 'Noodles', 'Ramen']"
Vientian Cafe,4.0,991,$,"['Vietnamese', 'Thai', 'Laotian']"
Marufuku Ramen - Oakland,4.5,1083,$$,['Ramen']
Ikaros Greek Restaurant,4.0,701,$$,"['Greek', 'Mediterranean', 'Middle Eastern']"
Marica,4.5,2061,$$,"['Seafood', 'American (New)']"
Sparky’s Giant Burgers,3.5,701,$$,['Burgers']
Communitē Table,4.5,205,$$,"['American (New)', 'Sandwiches', 'Salad']"
Easy Creole,4.5,670,$$,"['Cajun/Creole', 'Southern', 'Comfort Food']"
Popoca Oakland,4.5,31,,"['Salvadoran', 'Pop-Up Restaurants']"
Daughter’s Diner,4.5,38,,"['Diners', 'Sandwiches', 'Breakfast & Brunch']"
Curry Up Now,4.0,305,$$,['Indian']
Smish Smash,4.5,27,,['Burgers']
Taps And Takeout,4.5,52,$$,['American (New)']
Yellow Door,5.0,33,,"['Coffee & Tea', 'Bakeries', 'Breakfast & Brunch']"
Chuan Yu,4.5,14,,['Szechuan']
TrueBurger,4.0,1729,$,['Burgers']
The Lumpia Company,4.0,198,$$,"['Filipino', 'Pop-up Shops']"
Moo Bong Ri Korean Restaurant,4.5,122,$$,"['Korean', 'Soup']"
Teni East Kitchen,4.5,362,$$,['Burmese']
Pho Huong Que,4.5,98,$$,['Vietnamese']
Pho King,4.0,635,$,['Vietnamese']
Montclair Egg Shop,4.0,757,$$,['Breakfast & Brunch']
Seoul Hotdog,4.5,103,$,"['Hot Dogs', 'Korean']"
Taiwan Bento,4.0,457,$$,"['Taiwanese', 'Comfort Food', 'Noodles']"
